# time x y z qx qy qz qw
1551196596.624656200 0.022528170 0.000000000 0.000000000 0.000000000 0.000000000 -0.001045124 0.999999454
1551196596.655105352 0.042219605 -0.000041160 0.000000000 0.000000000 0.000000000 -0.001958648 0.999998082
1551196596.685594797 0.061937019 -0.000118399 0.000000000 0.000000000 0.000000000 -0.002873381 0.999995872
1551196596.715814829 0.081480016 -0.000230710 0.000000000 0.000000000 0.000000000 -0.003780027 0.999992856
1551196596.746074677 0.101048621 -0.000378653 0.000000000 0.000000000 0.000000000 -0.004687870 0.999989012
1551196596.776403427 0.120661354 -0.000562543 0.000000000 0.000000000 0.000000000 -0.005597770 0.999984332
1551196596.813064098 0.144368381 -0.000827968 0.000000000 0.000000000 0.000000000 -0.006598849 0.999978227
1551196596.843433142 0.164006368 -0.001087161 0.000000000 0.000000000 0.000000000 -0.007428119 0.999972411
1551196596.873701096 0.183578651 -0.001377956 0.000000000 0.000000000 0.000000000 -0.008254630 0.999965930
1551196596.903958797 0.203143560 -0.001700991 0.000000000 0.000000000 0.000000000 -0.009080844 0.999958768
1551196596.934165478 0.222675044 -0.002055760 0.000000000 0.000000000 0.000000000 -0.009905665 0.999950938
1551196596.974927664 0.249030919 -0.002577981 0.000000000 0.000000000 0.000000000 -0.011018706 0.999939292
1551196597.005147934 0.268569607 -0.003008642 0.000000000 0.000000000 0.000000000 -0.011843878 0.999929859
1551196597.044163704 0.293794049 -0.003606278 0.000000000 0.000000000 0.000000000 -0.012855170 0.999917369
1551196597.065261126 0.307616345 -0.003961742 0.000000000 0.000000000 0.000000000 -0.013409352 0.999910091
1551196597.105632067 0.334065294 -0.004671260 0.000000000 0.000000000 0.000000000 -0.014469798 0.999895307
1551196597.135889053 0.353886856 -0.005245068 0.000000000 0.000000000 0.000000000 -0.015264561 0.999883490
1551196597.166074038 0.373660401 -0.005848948 0.000000000 0.000000000 0.000000000 -0.016030557 0.999871502
1551196597.196330309 0.393479578 -0.006484618 0.000000000 0.000000000 0.000000000 -0.016798349 0.999858898
1551196597.226788044 0.413693943 -0.007164042 0.000000000 0.000000000 0.000000000 -0.017569145 0.999845651
1551196597.262982607 0.437714509 -0.008008474 0.000000000 0.000000000 0.000000000 -0.018485112 0.999829136
1551196597.293366671 0.458141302 -0.008764045 0.000000000 0.000000000 0.000000000 -0.019248867 0.999814723
1551196597.323599339 0.478465045 -0.009546898 0.000000000 0.000000000 0.000000000 -0.019992320 0.999800134
1551196597.435353041 0.553586497 -0.012552405 0.000000000 0.000000000 0.000000000 -0.022740365 0.999741404
1551196597.435353041 0.553586497 -0.012552405 0.000000000 0.000000000 0.000000000 -0.022740365 0.999741404
1551196597.477221966 0.581724283 -0.013833125 0.000000000 0.000000000 0.000000000 -0.023743686 0.999718079
1551196597.477221966 0.581724283 -0.013833125 0.000000000 0.000000000 0.000000000 -0.023743686 0.999718079
1551196597.477221966 0.581724283 -0.013833125 0.000000000 0.000000000 0.000000000 -0.023743686 0.999718079
1551196597.507435322 0.602027230 -0.014798075 0.000000000 0.000000000 0.000000000 -0.024467690 0.999700621
1551196597.537803173 0.622432512 -0.015797513 0.000000000 0.000000000 0.000000000 -0.025195381 0.999682546
1551196597.578194141 0.649921009 -0.017184000 0.000000000 0.000000000 0.000000000 -0.026064642 0.999660260
1551196597.610900402 0.672177597 -0.018345404 0.000000000 0.000000000 0.000000000 -0.026768504 0.999641659
1551196597.641376972 0.692651112 -0.019442674 0.000000000 0.000000000 0.000000000 -0.027391127 0.999624793
1551196597.671758413 0.713059253 -0.020561938 0.000000000 0.000000000 0.000000000 -0.028011793 0.999607593
1551196597.702075481 0.733685569 -0.021718861 0.000000000 0.000000000 0.000000000 -0.028639126 0.999589816
1551196597.738889217 0.758730239 -0.023155143 0.000000000 0.000000000 0.000000000 -0.029400880 0.999567701
1551196597.769513607 0.779031532 -0.024350445 0.000000000 0.000000000 0.000000000 -0.029934451 0.999551864
1551196597.800470114 0.799551705 -0.025580620 0.000000000 0.000000000 0.000000000 -0.030446639 0.999536394
1551196597.842664003 0.827519146 -0.027286021 0.000000000 0.000000000 0.000000000 -0.031144742 0.999514885
1551196597.885636091 0.855999948 -0.029062662 0.000000000 0.000000000 0.000000000 -0.031855705 0.999492478
1551196597.916009426 0.875865719 -0.030330268 0.000000000 0.000000000 0.000000000 -0.032351647 0.999476548
1551196597.946775675 0.895987175 -0.031634241 0.000000000 0.000000000 0.000000000 -0.032853996 0.999460162
1551196597.977258682 0.915922024 -0.032946245 0.000000000 0.000000000 0.000000000 -0.033351711 0.999443677
1551196598.018067837 0.942608112 -0.034729275 0.000000000 0.000000000 0.000000000 -0.034018015 0.999421220
1551196598.038279057 0.955823602 -0.035629968 0.000000000 0.000000000 0.000000000 -0.034348006 0.999409933
1551196598.068562984 0.975624184 -0.036992602 0.000000000 0.000000000 0.000000000 -0.034842443 0.999392818
1551196598.108838797 1.001956267 -0.038830899 0.000000000 0.000000000 0.000000000 -0.035239075 0.999378911
1551196598.139203310 1.021281248 -0.040195431 0.000000000 0.000000000 0.000000000 -0.035530174 0.999368604
1551196598.169508934 1.040568113 -0.041568564 0.000000000 0.000000000 0.000000000 -0.035780917 0.999359658
1551196598.199779510 1.059831826 -0.042949765 0.000000000 0.000000000 0.000000000 -0.036031365 0.999350660
1551196598.230322838 1.079136350 -0.044343617 0.000000000 0.000000000 0.000000000 -0.036282350 0.999341579
1551196598.260597944 1.098270635 -0.045734839 0.000000000 0.000000000 0.000000000 -0.036531129 0.999332516
1551196598.303617954 1.125086260 -0.047697982 0.000000000 0.000000000 0.000000000 -0.036879788 0.999319709
1551196598.323863745 1.137705551 -0.048630679 0.000000000 0.000000000 0.000000000 -0.036977799 0.999316087
1551196598.354111671 1.156558813 -0.050027851 0.000000000 0.000000000 0.000000000 -0.037124230 0.999310658
1551196598.384356499 1.175409722 -0.051430403 0.000000000 0.000000000 0.000000000 -0.037270645 0.999305208
1551196598.414798021 1.194382851 -0.052847639 0.000000000 0.000000000 0.000000000 -0.037418012 0.999299701
1551196598.455098867 1.219500346 -0.054731291 0.000000000 0.000000000 0.000000000 -0.037613106 0.999292377
1551196598.485303879 1.238325053 -0.056150416 0.000000000 0.000000000 0.000000000 -0.037759326 0.999286862
1551196598.515744448 1.257296146 -0.057586159 0.000000000 0.000000000 0.000000000 -0.037884979 0.999282107
1551196598.545992613 1.276146955 -0.059017568 0.000000000 0.000000000 0.000000000 -0.038009836 0.999277365
1551196598.576473475 1.294878628 -0.060444638 0.000000000 0.000000000 0.000000000 -0.038135368 0.999272582
1551196598.606765509 1.313493891 -0.061867544 0.000000000 0.000000000 0.000000000 -0.038260121 0.999267814
1551196598.637039423 1.332097649 -0.063294242 0.000000000 0.000000000 0.000000000 -0.038384799 0.999263032
1551196598.677299738 1.356837794 -0.065197743 0.000000000 0.000000000 0.000000000 -0.038551890 0.999256600
1551196598.707713842 1.375526851 -0.066641961 0.000000000 0.000000000 0.000000000 -0.038678116 0.999251722
1551196598.737921000 1.394088427 -0.068081046 0.000000000 0.000000000 0.000000000 -0.038803482 0.999246861
1551196598.768283844 1.412745284 -0.069532228 0.000000000 0.000000000 0.000000000 -0.038929494 0.999241960
