# time x y z qx qy qz qw
1551197426.946104050 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000031189 1.000000000
1551197427.057307243 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000026606 1.000000000
1551197427.199524879 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 -0.000020044 1.000000000
1551197427.330812216 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 -0.000033655 0.999999999
1551197427.482182741 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000014991 1.000000000
1551197427.614054680 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000027640 1.000000000
1551197427.756447315 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000037916 0.999999999
1551197427.872021437 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000024613 1.000000000
1551197428.069687605 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 -0.000055644 0.999999998
1551197428.221619368 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 -0.000041468 0.999999999
1551197428.384763956 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000030511 1.000000000
1551197428.526918173 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000057401 0.999999998
1551197428.688964128 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000135467 0.999999991
1551197428.871129036 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000138151 0.999999990
1551197429.033592463 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000276131 0.999999962
1551197429.188628197 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000354768 0.999999937
1551197429.320519447 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000359203 0.999999935
1551197429.462157249 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000327942 0.999999946
1551197429.603912830 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000327747 0.999999946
1551197429.746296167 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000475513 0.999999887
1551197429.918622732 0.037838058 0.000039210 0.000000000 0.000000000 0.000000000 0.000644957 0.999999792
1551197430.060434341 0.094055866 0.000122872 0.000000000 0.000000000 0.000000000 0.000831699 0.999999654
1551197430.212753057 0.152437284 0.000227988 0.000000000 0.000000000 0.000000000 0.001037350 0.999999462
1551197430.364703655 0.230855227 0.000402268 0.000000000 0.000000000 0.000000000 0.001176335 0.999999308
1551197430.466111183 0.277014831 0.000509225 0.000000000 0.000000000 0.000000000 0.001169021 0.999999317
1551197430.618268251 0.358482714 0.000692384 0.000000000 0.000000000 0.000000000 0.001052062 0.999999447
1551197430.821611643 0.461593057 0.000873421 0.000000000 0.000000000 0.000000000 0.000616142 0.999999810
1551197430.993879557 0.541152903 0.000931230 0.000000000 0.000000000 0.000000000 -0.000019601 1.000000000
1551197431.145807505 0.611082984 0.000887553 0.000000000 0.000000000 0.000000000 -0.000735489 0.999999730
1551197431.307906151 0.685664707 0.000727470 0.000000000 0.000000000 0.000000000 -0.001610037 0.999998704
1551197431.470216990 0.762055400 0.000409554 0.000000000 0.000000000 0.000000000 -0.002810915 0.999996049
1551197431.643028021 0.841113816 -0.000114821 0.000000000 0.000000000 0.000000000 -0.004090770 0.999991633
1551197431.826569080 0.939171603 -0.001073674 0.000000000 0.000000000 0.000000000 -0.006062163 0.999981625
1551197432.009074450 1.040134791 -0.002506369 0.000000000 0.000000000 0.000000000 -0.008573548 0.999963246
1551197432.172367811 1.127602992 -0.004160086 0.000000000 0.000000000 0.000000000 -0.010776383 0.999941933
1551197432.335372448 1.193467440 -0.005671204 0.000000000 0.000000000 0.000000000 -0.012660665 0.999919851
1551197432.477483511 1.280339647 -0.008050095 0.000000000 0.000000000 0.000000000 -0.015243345 0.999883813
1551197432.649609327 1.383772224 -0.011473390 0.000000000 0.000000000 0.000000000 -0.018442750 0.999829918
1551197432.811675549 1.472069238 -0.014943404 0.000000000 0.000000000 0.000000000 -0.021455475 0.999769805
1551197432.923129559 1.527136875 -0.017376036 0.000000000 0.000000000 0.000000000 -0.023305257 0.999728396
1551197433.074843645 1.598393259 -0.020835223 0.000000000 0.000000000 0.000000000 -0.025849507 0.999665846
1551197433.227346897 1.685694399 -0.025573706 0.000000000 0.000000000 0.000000000 -0.029099835 0.999576510
1551197433.410066366 1.790050851 -0.032015155 0.000000000 0.000000000 0.000000000 -0.033245137 0.999447228
1551197434.342584372 1.879345501 -0.038225580 0.000000000 0.000000000 0.000000000 -0.036899289 0.999318989
1551197434.443552256 1.930704731 -0.042096860 0.000000000 0.000000000 0.000000000 -0.039224472 0.999230424
1551197434.545311451 2.026066287 -0.049938699 0.000000000 0.000000000 0.000000000 -0.043807605 0.999039986
1551197434.646530390 2.126849965 -0.059212047 0.000000000 0.000000000 0.000000000 -0.049035339 0.998797044
1551197434.748102903 2.211370879 -0.067823063 0.000000000 0.000000000 0.000000000 -0.053589236 0.998563065
1551197434.849692822 2.320088401 -0.080053379 0.000000000 0.000000000 0.000000000 -0.059683094 0.998217375
1551197434.951186180 2.424955078 -0.093177731 0.000000000 0.000000000 0.000000000 -0.066048571 0.997816409
1551197435.052451849 2.512800604 -0.105222495 0.000000000 0.000000000 0.000000000 -0.071571846 0.997435447
1551197435.153845310 2.610236678 -0.119742061 0.000000000 0.000000000 0.000000000 -0.077797570 0.996969176
1551197435.255213499 2.755636222 -0.143716858 0.000000000 0.000000000 0.000000000 -0.086982277 0.996209859
1551197435.356325626 2.881858280 -0.166786066 0.000000000 0.000000000 0.000000000 -0.095422488 0.995436863
1551197435.457796097 3.061926289 -0.203638504 0.000000000 0.000000000 0.000000000 -0.107794529 0.994173194
1551197435.559146881 3.196398365 -0.234234983 0.000000000 0.000000000 0.000000000 -0.117482732 0.993074926
1551197435.660578966 3.247184427 -0.246512463 0.000000000 0.000000000 0.000000000 -0.121257212 0.992621120
1551197435.761751175 3.394705796 -0.284453204 0.000000000 0.000000000 0.000000000 -0.132257357 0.991215411
1551197435.872896194 3.563035773 -0.332135943 0.000000000 0.000000000 0.000000000 -0.145137121 0.989411550
1551197436.228017330 3.671439642 -0.365411377 0.000000000 0.000000000 0.000000000 -0.153793637 0.988102989
1551197436.329858065 3.790598665 -0.404417003 0.000000000 0.000000000 0.000000000 -0.163785315 0.986496006
1551197436.431337357 3.938722397 -0.456674920 0.000000000 0.000000000 0.000000000 -0.176579808 0.984286326
1551197436.532343388 4.088354594 -0.514002433 0.000000000 0.000000000 0.000000000 -0.190056949 0.981773068
1551197436.633260250 4.235252606 -0.575022657 0.000000000 0.000000000 0.000000000 -0.203973858 0.978976335
1551197436.745565891 4.345224547 -0.624008882 0.000000000 0.000000000 0.000000000 -0.214779414 0.976662584
1551197436.857005358 4.462383897 -0.679446388 0.000000000 0.000000000 0.000000000 -0.226680910 0.973969078
1551197437.019084692 4.570345896 -0.733715357 0.000000000 0.000000000 0.000000000 -0.237576980 0.971368714
1551197437.171650887 4.737708439 -0.823944373 0.000000000 0.000000000 0.000000000 -0.254884974 0.966971380
1551197437.414379597 4.950083394 -0.949946686 0.000000000 0.000000000 0.000000000 -0.276903192 0.960897821
1551197437.637298822 5.030824383 -1.002493815 0.000000000 0.000000000 0.000000000 -0.293513066 0.955955062
1551197437.839841604 5.210560887 -1.129108703 0.000000000 0.000000000 0.000000000 -0.313607005 0.949552866
1551197437.972033024 5.301995659 -1.198097234 0.000000000 0.000000000 0.000000000 -0.324149527 0.946005858
