# time x y z qx qy qz qw
1551192343.981970549 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000030736 1.000000000
1551192344.118322134 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000118357 0.999999993
1551192344.260487080 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000107442 0.999999994
1551192344.362805605 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000088623 0.999999996
1551192344.561912060 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000186049 0.999999983
1551192344.725574017 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000213427 0.999999977
1551192344.826890945 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000179627 0.999999984
1551192345.007208347 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000178343 0.999999984
1551192345.190332413 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000096928 0.999999995
1551192345.396685123 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000038655 0.999999999
1551192345.559984446 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000092108 0.999999996
1551192345.722911119 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000165015 0.999999986
1551192345.885689735 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000185052 0.999999983
1551192346.017870903 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000182765 0.999999983
1551192346.129928827 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000244025 0.999999970
1551192346.272134781 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000282099 0.999999960
1551192346.434060097 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000214889 0.999999977
1551192346.617096901 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000188540 0.999999982
1551192346.769251823 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000213858 0.999999977
1551192346.937116146 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000279839 0.999999961
1551192347.129941702 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000284735 0.999999959
1551192347.244951725 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000284844 0.999999959
1551192347.366907120 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000384347 0.999999926
1551192347.519913197 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000420525 0.999999912
1551192347.661832571 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000650637 0.999999788
1551192347.836728334 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000567124 0.999999839
1551192348.019273520 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000595365 0.999999823
1551192348.205556631 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000667499 0.999999777
1551192348.367492437 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000700282 0.999999755
1551192348.519415379 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000710412 0.999999748
1551192348.635654449 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000654266 0.999999786
1551192348.828063011 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000615385 0.999999811
1551192348.981232166 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000602643 0.999999818
1551192349.122043848 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000691328 0.999999761
1551192349.233623981 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000615927 0.999999810
1551192349.344923496 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000628266 0.999999803
1551192349.550704956 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000665111 0.999999779
1551192349.712834358 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000759885 0.999999711
1551192349.854348183 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000831404 0.999999654
1551192349.999742746 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000850914 0.999999638
1551192350.172573328 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000944340 0.999999554
1551192350.304790020 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000991617 0.999999508
1551192350.468979120 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.001037009 0.999999462
1551192350.631459713 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.001026153 0.999999474
1551192350.779994965 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.001004399 0.999999496
1551192350.934501886 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000977105 0.999999523
1551192351.056383133 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000986635 0.999999513
1551192351.168088913 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000986756 0.999999513
1551192351.299518585 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000956587 0.999999542
1551192351.471444607 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000881992 0.999999611
1551192351.614141226 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000865448 0.999999626
1551192351.817530632 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000800377 0.999999680
1551192351.958976269 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000788786 0.999999689
1551192352.060637474 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000796193 0.999999683
1551192352.266980886 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000791072 0.999999687
1551192352.479468822 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000774247 0.999999700
1551192352.653236389 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000764104 0.999999708
1551192352.775270939 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000779557 0.999999696
1551192352.927889347 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000720911 0.999999740
1551192353.128826618 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000756210 0.999999714
1551192353.290679455 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000812082 0.999999670
1551192353.459562302 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000754282 0.999999716
1551192353.632085085 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000644106 0.999999793
1551192353.806064606 0.003678782 0.000004699 0.000000000 0.000000000 0.000000000 0.000641050 0.999999795
1551192353.928140879 0.015853154 0.000020378 0.000000000 0.000000000 0.000000000 0.000636550 0.999999797
1551192354.151149988 0.057460959 0.000067056 0.000000000 0.000000000 0.000000000 0.000443272 0.999999902
1551192354.313650370 0.080739924 0.000085433 0.000000000 0.000000000 0.000000000 0.000416838 0.999999913
1551192354.504295588 0.098952536 0.000099867 0.000000000 0.000000000 0.000000000 0.000332291 0.999999945
1551192354.646107912 0.108684930 0.000105345 0.000000000 0.000000000 0.000000000 0.000212465 0.999999977
1551192354.838556767 0.117248757 0.000109738 0.000000000 0.000000000 0.000000000 0.000269418 0.999999964
1551192354.979985476 0.133827349 0.000118227 0.000000000 0.000000000 0.000000000 0.000255068 0.999999967
1551192355.121998072 0.156143671 0.000127418 0.000000000 0.000000000 0.000000000 0.000088681 0.999999996
1551192355.274202585 0.187267547 0.000128110 0.000000000 0.000000000 0.000000000 -0.000050056 0.999999999
1551192355.375553846 0.217664387 0.000125117 0.000000000 0.000000000 0.000000000 -0.000114980 0.999999993
1551192355.530119896 0.259693198 0.000108152 0.000000000 0.000000000 0.000000000 -0.000245943 0.999999970
1551192355.671994925 0.295290343 0.000094318 0.000000000 0.000000000 0.000000000 -0.000098939 0.999999995
1551192355.824038267 0.338558869 0.000077006 0.000000000 0.000000000 0.000000000 -0.000276409 0.999999962
1551192355.967976570 0.379059608 0.000049704 0.000000000 0.000000000 0.000000000 -0.000344545 0.999999941
1551192356.199235201 0.452921062 -0.000020921 0.000000000 0.000000000 0.000000000 -0.000586087 0.999999828
1551192356.341850758 0.500077689 -0.000070268 0.000000000 0.000000000 0.000000000 -0.000517507 0.999999866
1551192356.513988256 0.573036351 -0.000162045 0.000000000 0.000000000 0.000000000 -0.000682513 0.999999767
1551192356.655336380 0.628786085 -0.000232897 0.000000000 0.000000000 0.000000000 -0.000657464 0.999999784
1551192356.837015390 0.716595911 -0.000355035 0.000000000 0.000000000 0.000000000 -0.000830344 0.999999655
1551192356.989209890 0.782589667 -0.000481093 0.000000000 0.000000000 0.000000000 -0.001145828 0.999999344
1551192357.097141027 0.813057224 -0.000553112 0.000000000 0.000000000 0.000000000 -0.001209073 0.999999269
1551192357.270105600 0.894945323 -0.000737735 0.000000000 0.000000000 0.000000000 -0.001201220 0.999999279
1551192357.401761293 0.955396220 -0.000913104 0.000000000 0.000000000 0.000000000 -0.001701844 0.999998552
1551192357.574345827 1.030472685 -0.001173809 0.000000000 0.000000000 0.000000000 -0.001805479 0.999998370
1551192357.722594261 1.094317154 -0.001411179 0.000000000 0.000000000 0.000000000 -0.002001682 0.999997997
1551192357.874408722 1.154959790 -0.001670868 0.000000000 0.000000000 0.000000000 -0.002247378 0.999997475
1551192358.026360035 1.202598248 -0.001883604 0.000000000 0.000000000 0.000000000 -0.002236397 0.999997499
1551192358.175270319 1.261003745 -0.002149673 0.000000000 0.000000000 0.000000000 -0.002431543 0.999997044
1551192358.306871891 1.298800843 -0.002339043 0.000000000 0.000000000 0.000000000 -0.002728472 0.999996278
1551192358.428093672 1.348153575 -0.002619824 0.000000000 0.000000000 0.000000000 -0.003103513 0.999995184
1551192358.529105186 1.395006240 -0.002927820 0.000000000 0.000000000 0.000000000 -0.003616556 0.999993460
1551192358.665168047 1.443586173 -0.003296789 0.000000000 0.000000000 0.000000000 -0.004209656 0.999991139
1551192358.797034740 1.496407242 -0.003781591 0.000000000 0.000000000 0.000000000 -0.005266876 0.999986130
1551192360.108426809 1.525473891 -0.004097264 0.000000000 0.000000000 0.000000000 -0.005937565 0.999982373
1551192360.209674358 1.589092503 -0.004924633 0.000000000 0.000000000 0.000000000 -0.007424173 0.999972440
1551192360.311162949 1.659166550 -0.006070443 0.000000000 0.000000000 0.000000000 -0.009450663 0.999955341
1551192360.412985563 1.698840711 -0.006856851 0.000000000 0.000000000 0.000000000 -0.010831261 0.999941340
1551192360.517133474 1.766250416 -0.008445353 0.000000000 0.000000000 0.000000000 -0.013247141 0.999912253
1551192360.618647575 1.838670698 -0.010526656 0.000000000 0.000000000 0.000000000 -0.015966183 0.999872532
1551192360.720358849 1.900644974 -0.012619466 0.000000000 0.000000000 0.000000000 -0.018154303 0.999835197
1551192360.821733713 1.945098193 -0.014291224 0.000000000 0.000000000 0.000000000 -0.019750169 0.999804946
1551192360.922886848 1.993141398 -0.016250279 0.000000000 0.000000000 0.000000000 -0.021266561 0.999773841
1551192361.029332399 2.057028032 -0.019095967 0.000000000 0.000000000 0.000000000 -0.023580172 0.999721949
