# time x y z qx qy qz qw
1551197427.274621010 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1551197427.475991249 0.007283677 0.004960921 0.000000000 0.000000000 0.000000000 -0.000020477 1.000000000
1551197427.778708935 0.010473603 0.005821103 0.000000000 0.000000000 0.000000000 0.000301790 0.999999954
1551197428.025484800 0.001931118 0.000396534 0.000000000 0.000000000 0.000000000 0.000397776 0.999999921
1551197428.159646511 0.002358664 -0.005351332 0.000000000 0.000000000 0.000000000 0.000301717 0.999999954
1551197428.376487017 0.001597472 -0.000647817 0.000000000 0.000000000 0.000000000 0.000522908 0.999999863
1551197428.551788092 0.004626699 -0.001387381 0.000000000 0.000000000 0.000000000 -0.000402763 0.999999919
1551197428.726215124 0.007058311 0.004887055 0.000000000 0.000000000 0.000000000 -0.000126320 0.999999992
1551197428.959315062 0.008944222 0.019983685 0.000000000 0.000000000 0.000000000 -0.001495839 0.999998881
1551197429.133233547 0.009425783 0.012000927 0.000000000 0.000000000 0.000000000 -0.000647785 0.999999790
1551197429.315321445 0.000611839 -0.001821033 0.000000000 0.000000000 0.000000000 0.000752947 0.999999717
1551197429.500912189 0.008000064 0.014293628 0.000000000 0.000000000 0.000000000 -0.001273242 0.999999189
1551197429.673343897 0.006393825 -0.000158503 0.000000000 0.000000000 0.000000000 -0.000211352 0.999999978
1551197429.784406424 0.007180044 0.005611859 0.000000000 0.000000000 0.000000000 0.000094269 0.999999996
1551197429.937186241 0.008029824 0.005554212 0.000000000 0.000000000 0.000000000 0.000220591 0.999999976
1551197430.079923153 0.009114827 0.002759814 0.000000000 0.000000000 0.000000000 -0.000076778 0.999999997
1551197430.262813330 0.022674222 0.006030962 0.000000000 0.000000000 0.000000000 0.000482336 0.999999884
1551197430.394419670 0.070044892 -0.008186944 0.000000000 0.000000000 0.000000000 0.002671406 0.999996432
1551197430.517472982 0.104363510 -0.010175277 0.000000000 0.000000000 0.000000000 0.004129005 0.999991476
1551197430.648675442 0.153135444 -0.006119919 0.000000000 0.000000000 0.000000000 0.002749356 0.999996221
1551197430.770409107 0.180962186 0.016087469 0.000000000 0.000000000 0.000000000 0.001628846 0.999998673
1551197430.946446180 0.253669107 0.009146006 0.000000000 0.000000000 0.000000000 0.004710570 0.999988905
1551197431.125638723 0.490374066 0.002927066 0.000000000 0.000000000 0.000000000 -0.000524240 0.999999863
1551197431.268435478 0.563131961 0.002820179 0.000000000 0.000000000 0.000000000 -0.001102028 0.999999393
1551197431.401632547 0.639245504 0.002596582 0.000000000 0.000000000 0.000000000 -0.002047483 0.999997904
1551197431.574924707 0.725036195 0.002162888 0.000000000 0.000000000 0.000000000 -0.003236384 0.999994763
1551197431.741735458 0.804095805 0.001571739 0.000000000 0.000000000 0.000000000 -0.004497325 0.999989887
1551197431.975860357 0.887861361 0.000714197 0.000000000 0.000000000 0.000000000 -0.006076827 0.999981536
