# time x y z qx qy qz qw
1551197427.475991249 3.754385312 0.044807462 0.736150000 0.630972320 -0.622617762 0.324606943 -0.329926334
1551197427.778708935 3.757548777 0.048082770 0.736150000 0.631172937 -0.622414388 0.324500602 -0.330030927
1551197428.025484800 3.748998111 0.043377537 0.736150000 0.631232677 -0.622353801 0.324468922 -0.330062073
1551197428.159646511 3.749433845 0.036909788 0.736150000 0.631172891 -0.622414434 0.324500626 -0.330030903
1551197428.376487017 3.748653591 0.043270937 0.736150000 0.631310548 -0.622274809 0.324427618 -0.330102672
1551197428.551788092 3.751757704 0.035594220 0.736150000 0.630734256 -0.622858928 0.324733046 -0.329802217
1551197428.726215124 3.754168297 0.043940384 0.736150000 0.630906417 -0.622684543 0.324641862 -0.329891975
1551197428.959315062 3.756147121 0.048773402 0.736150000 0.630053047 -0.623547997 0.325093350 -0.329447062
1551197429.133233547 3.756574461 0.047146265 0.736150000 0.630581623 -0.623013453 0.324813844 -0.329722641
1551197429.315321445 3.747647354 0.043821654 0.736150000 0.631453679 -0.622129567 0.324351673 -0.330177294
1551197429.500912189 3.755189774 0.044751575 0.736150000 0.630191831 -0.623407734 0.325020008 -0.329519419
1551197429.673343897 3.753510399 0.038257583 0.736150000 0.630853467 -0.622738187 0.324669912 -0.329864369
1551197429.784406424 3.754272436 0.046318326 0.736150000 0.631043759 -0.622545357 0.324569083 -0.329963579
1551197429.937186241 3.755111812 0.047207360 0.736150000 0.631122395 -0.622465637 0.324527399 -0.330004577
1551197430.079923153 3.756220925 0.042184421 0.736150000 0.630937265 -0.622653286 0.324625518 -0.329908058
1551197430.262813330 3.769733891 0.049645663 0.736150000 0.631285301 -0.622300423 0.324441011 -0.330089509
1551197430.394419670 3.816877698 0.051832468 0.736150000 0.632646049 -0.620917002 0.323717644 -0.330798943
1551197430.517472982 3.851005426 0.060766687 0.736150000 0.633550429 -0.619994194 0.323235125 -0.331270445
1551197430.648675442 3.899958848 0.054483623 0.736150000 0.632694447 -0.620867686 0.323691857 -0.330824176
1551197430.770409107 3.927911995 0.068294141 0.736150000 0.631998360 -0.621576238 0.324062346 -0.330461267
1551197430.946446180 4.000225973 0.084445795 0.736150000 0.633910893 -0.619625634 0.323042413 -0.331458373
1551197431.125638723 4.237513945 0.038998288 0.736150000 0.630658589 -0.622935543 0.324773106 -0.329762767
1551197431.268435478 4.310311022 0.034561267 0.736150000 0.630298558 -0.623299827 0.324963585 -0.329575062
1551197431.401632547 4.386477885 0.027252035 0.736150000 0.629708974 -0.623895467 0.325275039 -0.329267676
1551197431.574924707 4.472316609 0.017908067 0.736150000 0.628966776 -0.624643691 0.325666277 -0.328880722
1551197431.741735458 4.551404011 0.007866610 0.736150000 0.628178632 -0.625436290 0.326080720 -0.328469812
1551197431.975860357 4.635170753 -0.004828874 0.736150000 0.627189957 -0.626427733 0.326599139 -0.327954350
1551197432.148861647 4.735360164 -0.023131377 0.736150000 -0.625775457 0.627840763 -0.327338008 0.327216873
1551197432.280150890 4.723691254 -0.133776631 0.736150000 -0.616636895 0.636818566 -0.332032585 0.322452191
1551197432.456110001 4.780105241 -0.058998433 0.736150000 -0.618904757 0.634614725 -0.330880157 0.323634632
1551197432.609040976 4.818047352 -0.096039644 0.736150000 -0.618465012 0.635043287 -0.331104259 0.323405354
