# time x y z qx qy qz qw
1551196596.302679062 0.006474848 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1551196596.342957973 0.032523340 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1551196596.373381138 0.052197910 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1551196596.403936625 0.071958323 0.000000000 0.000000000 0.000000000 0.000000000 -0.001020407 0.999999479
1551196596.434282064 0.091450966 -0.000039781 0.000000000 0.000000000 0.000000000 -0.002033790 0.999997932
1551196596.467231274 0.112759093 -0.000126454 0.000000000 0.000000000 0.000000000 -0.003120945 0.999995130
1551196596.497464180 0.132310300 -0.000248492 0.000000000 0.000000000 0.000000000 -0.004082191 0.999991668
1551196596.528142929 0.152149711 -0.000410473 0.000000000 0.000000000 0.000000000 -0.005087067 0.999987061
1551196596.551825762 0.167464661 -0.000566295 0.000000000 0.000000000 0.000000000 -0.005849525 0.999982891
1551196596.583837509 0.188165172 -0.000808484 0.000000000 0.000000000 0.000000000 -0.006877556 0.999976349
1551196596.624305487 0.214333507 -0.001168458 0.000000000 0.000000000 0.000000000 -0.008135068 0.999966910
1551196596.654556990 0.233894541 -0.001486750 0.000000000 0.000000000 0.000000000 -0.009075096 0.999958820
1551196596.685722351 0.254045883 -0.001852546 0.000000000 0.000000000 0.000000000 -0.010043514 0.999949563
1551196596.716799021 0.274139195 -0.002256222 0.000000000 0.000000000 0.000000000 -0.010967064 0.999939860
1551196596.747091055 0.293724335 -0.002685883 0.000000000 0.000000000 0.000000000 -0.011864859 0.999929610
1551196596.777449608 0.313351798 -0.003151735 0.000000000 0.000000000 0.000000000 -0.012762193 0.999918560
1551196596.810609102 0.334789141 -0.003699044 0.000000000 0.000000000 0.000000000 -0.013697210 0.999906189
1551196596.840871811 0.354352617 -0.004235125 0.000000000 0.000000000 0.000000000 -0.014521480 0.999894558
1551196596.881178141 0.380407822 -0.004992084 0.000000000 0.000000000 0.000000000 -0.015619301 0.999878011
1551196596.911392927 0.399938276 -0.005602412 0.000000000 0.000000000 0.000000000 -0.016471250 0.999864340
1551196597.022716045 0.471891993 -0.007973712 0.000000000 0.000000000 0.000000000 -0.019494294 0.999809968
1551196597.022716045 0.471891993 -0.007973712 0.000000000 0.000000000 0.000000000 -0.019494294 0.999809968
1551196597.022716045 0.471891993 -0.007973712 0.000000000 0.000000000 0.000000000 -0.019494294 0.999809968
1551196597.032812119 0.478416195 -0.008228227 0.000000000 0.000000000 0.000000000 -0.019771682 0.999804521
1551196597.073527336 0.505079294 -0.009283194 0.000000000 0.000000000 0.000000000 -0.020939150 0.999780752
1551196597.134944439 0.545295740 -0.010968499 0.000000000 0.000000000 0.000000000 -0.022611758 0.999744322
1551196597.134944439 0.545295740 -0.010968499 0.000000000 0.000000000 0.000000000 -0.022611758 0.999744322
1551196597.165463209 0.565276638 -0.011872799 0.000000000 0.000000000 0.000000000 -0.023435543 0.999725350
1551196597.195763588 0.585113137 -0.012803324 0.000000000 0.000000000 0.000000000 -0.024255843 0.999705784
1551196597.227970123 0.606475155 -0.013840547 0.000000000 0.000000000 0.000000000 -0.025122580 0.999684378
1551196597.259054422 0.627091034 -0.014877377 0.000000000 0.000000000 0.000000000 -0.025978984 0.999662489
1551196597.289401054 0.647479008 -0.015937769 0.000000000 0.000000000 0.000000000 -0.026756955 0.999641969
1551196597.319655657 0.667803466 -0.017026580 0.000000000 0.000000000 0.000000000 -0.027561432 0.999620112
1551196597.360100508 0.694971124 -0.018525848 0.000000000 0.000000000 0.000000000 -0.028624105 0.999590246
1551196597.381183863 0.709131532 -0.019337504 0.000000000 0.000000000 0.000000000 -0.029178048 0.999574230
1551196597.411727905 0.729644844 -0.020536112 0.000000000 0.000000000 0.000000000 -0.029926814 0.999552093
1551196597.452641010 0.757119515 -0.022182783 0.000000000 0.000000000 0.000000000 -0.030929742 0.999521561
1551196597.483300447 0.777705927 -0.023458079 0.000000000 0.000000000 0.000000000 -0.031639618 0.999499342
1551196597.513704300 0.798119068 -0.024751750 0.000000000 0.000000000 0.000000000 -0.032372739 0.999475866
1551196597.546679497 0.820256286 -0.026187293 0.000000000 0.000000000 0.000000000 -0.033159925 0.999450058
1551196597.576909542 0.840810529 -0.027552700 0.000000000 0.000000000 0.000000000 -0.033881566 0.999425855
1551196597.607211828 0.861411762 -0.028951113 0.000000000 0.000000000 0.000000000 -0.034566298 0.999402407
1551196597.637694359 0.881869646 -0.030367961 0.000000000 0.000000000 0.000000000 -0.035255087 0.999378346
1551196597.668435335 0.902499009 -0.031825259 0.000000000 0.000000000 0.000000000 -0.035898088 0.999355456
1551196597.699301243 0.923477675 -0.033334366 0.000000000 0.000000000 0.000000000 -0.036565900 0.999331244
1551196597.737155199 0.949203201 -0.035219503 0.000000000 0.000000000 0.000000000 -0.037267043 0.999305342
1551196597.768090248 0.969688919 -0.036749576 0.000000000 0.000000000 0.000000000 -0.037832600 0.999284091
1551196597.799733400 0.990641845 -0.038338397 0.000000000 0.000000000 0.000000000 -0.038448877 0.999260569
1551196597.830311060 1.010887304 -0.039898689 0.000000000 0.000000000 0.000000000 -0.038971211 0.999240334
1551196597.881442547 1.044738730 -0.042543179 0.000000000 0.000000000 0.000000000 -0.039918197 0.999202951
1551196597.912565231 1.065070921 -0.044170320 0.000000000 0.000000000 0.000000000 -0.040444833 0.999181773
1551196597.943109989 1.085023883 -0.045788281 0.000000000 0.000000000 0.000000000 -0.040915290 0.999162619
1551196597.973680496 1.104992228 -0.047426419 0.000000000 0.000000000 0.000000000 -0.041386137 0.999143227
1551196598.014196396 1.131454668 -0.049622421 0.000000000 0.000000000 0.000000000 -0.041935865 0.999120305
1551196598.034877300 1.144960733 -0.050758196 0.000000000 0.000000000 0.000000000 -0.042219766 0.999108348
1551196598.075315475 1.171368711 -0.052994056 0.000000000 0.000000000 0.000000000 -0.042803974 0.999083490
1551196598.105576754 1.191128833 -0.054690345 0.000000000 0.000000000 0.000000000 -0.043204869 0.999066234
1551196598.135816813 1.210350566 -0.056355958 0.000000000 0.000000000 0.000000000 -0.043564386 0.999050621
1551196598.166354179 1.229760118 -0.058051920 0.000000000 0.000000000 0.000000000 -0.043927434 0.999034724
1551196598.196775436 1.249094549 -0.059755479 0.000000000 0.000000000 0.000000000 -0.044162817 0.999024347
1551196598.227132797 1.268256331 -0.061452925 0.000000000 0.000000000 0.000000000 -0.044421965 0.999012857
1551196598.258854628 1.288278535 -0.063237062 0.000000000 0.000000000 0.000000000 -0.044730788 0.998999077
1551196598.289819717 1.307554300 -0.064966697 0.000000000 0.000000000 0.000000000 -0.044990169 0.998987430
1551196598.320782185 1.326827479 -0.066706190 0.000000000 0.000000000 0.000000000 -0.045254474 0.998975492
1551196598.351358652 1.345859517 -0.068434073 0.000000000 0.000000000 0.000000000 -0.045447213 0.998966742
1551196598.381689548 1.364738076 -0.070155366 0.000000000 0.000000000 0.000000000 -0.045614163 0.998959132
1551196598.422474384 1.390122429 -0.072478394 0.000000000 0.000000000 0.000000000 -0.045799540 0.998950651
1551196598.454864264 1.410281296 -0.074330761 0.000000000 0.000000000 0.000000000 -0.045975232 0.998942580
1551196598.485120058 1.429111127 -0.076067685 0.000000000 0.000000000 0.000000000 -0.046122421 0.998935795
1551196598.515335083 1.447915152 -0.077807817 0.000000000 0.000000000 0.000000000 -0.046269411 0.998928997
1551196598.545881510 1.466925034 -0.079572641 0.000000000 0.000000000 0.000000000 -0.046415572 0.998922217
1551196598.576479673 1.485701998 -0.081321385 0.000000000 0.000000000 0.000000000 -0.046554643 0.998915745
1551196598.608039141 1.505068293 -0.083130453 0.000000000 0.000000000 0.000000000 -0.046682950 0.998909757
1551196598.638409853 1.523704821 -0.084876181 0.000000000 0.000000000 0.000000000 -0.046801570 0.998904206
1551196598.668744087 1.542318512 -0.086624230 0.000000000 0.000000000 0.000000000 -0.046937015 0.998897851
1551196598.699697971 1.561311892 -0.088413132 0.000000000 0.000000000 0.000000000 -0.047062858 0.998891930
1551196598.740035534 1.586062634 -0.090750586 0.000000000 0.000000000 0.000000000 -0.047226849 0.998884190
1551196598.770245790 1.604598806 -0.092507279 0.000000000 0.000000000 0.000000000 -0.047349668 0.998878375
1551196598.800480843 1.623149620 -0.094269962 0.000000000 0.000000000 0.000000000 -0.047503994 0.998871048
1551196598.830804348 1.641754300 -0.096043565 0.000000000 0.000000000 0.000000000 -0.047624849 0.998865293
1551196598.861018181 1.659769016 -0.097765324 0.000000000 0.000000000 0.000000000 -0.047754922 0.998859083
1551196598.891303778 1.677826022 -0.099495871 0.000000000 0.000000000 0.000000000 -0.047882883 0.998852957
1551196598.932141066 1.702173756 -0.101835605 0.000000000 0.000000000 0.000000000 -0.048065216 0.998844200
1551196598.962681055 1.720381368 -0.103592003 0.000000000 0.000000000 0.000000000 -0.048174880 0.998838916
1551196598.993208408 1.738581198 -0.105351684 0.000000000 0.000000000 0.000000000 -0.048311179 0.998832333
1551196599.023454189 1.756612482 -0.107100036 0.000000000 0.000000000 0.000000000 -0.048460719 0.998825089
1551196599.053750992 1.774673852 -0.108856765 0.000000000 0.000000000 0.000000000 -0.048612933 0.998817692
1551196599.083974123 1.792690608 -0.110614697 0.000000000 0.000000000 0.000000000 -0.048743040 0.998811352
1551196599.114204645 1.810711445 -0.112377767 0.000000000 0.000000000 0.000000000 -0.048906996 0.998803337
1551196599.144443274 1.828736517 -0.114147227 0.000000000 0.000000000 0.000000000 -0.049029920 0.998797310
1551196599.185007334 1.852915903 -0.116526843 0.000000000 0.000000000 0.000000000 -0.049253158 0.998786327
1551196599.215368271 1.871012513 -0.118315990 0.000000000 0.000000000 0.000000000 -0.049410539 0.998778553
1551196599.245599508 1.889031333 -0.120103181 0.000000000 0.000000000 0.000000000 -0.049608310 0.998768750
1551196599.276103258 1.907211891 -0.121913685 0.000000000 0.000000000 0.000000000 -0.049807863 0.998758818
1551196599.307218075 1.925755900 -0.123767866 0.000000000 0.000000000 0.000000000 -0.050016383 0.998748397
1551196599.348212242 1.950186867 -0.126220978 0.000000000 0.000000000 0.000000000 -0.050327137 0.998732787
1551196599.378431082 1.968194971 -0.128040491 0.000000000 0.000000000 0.000000000 -0.050515161 0.998723294
1551196599.408635378 1.986193806 -0.129865914 0.000000000 0.000000000 0.000000000 -0.050722399 0.998712791
1551196599.438879013 2.004084653 -0.131687886 0.000000000 0.000000000 0.000000000 -0.050934736 0.998701984
1551196599.469918728 2.022445739 -0.133565635 0.000000000 0.000000000 0.000000000 -0.051177306 0.998689583
1551196599.510189056 2.046265674 -0.136013342 0.000000000 0.000000000 0.000000000 -0.051508092 0.998672577
1551196599.543386936 2.065900990 -0.138044189 0.000000000 0.000000000 0.000000000 -0.051770171 0.998659026
1551196599.573768377 2.083869644 -0.139912187 0.000000000 0.000000000 0.000000000 -0.051947058 0.998649840
1551196599.604569674 2.102085803 -0.141812439 0.000000000 0.000000000 0.000000000 -0.052153454 0.998639083
1551196599.634837866 2.119985822 -0.143687193 0.000000000 0.000000000 0.000000000 -0.052385142 0.998626956
1551196599.665122986 2.137895032 -0.145571310 0.000000000 0.000000000 0.000000000 -0.052626634 0.998614259
1551196599.695419550 2.155810205 -0.147464816 0.000000000 0.000000000 0.000000000 -0.052858535 0.998602010
1551196599.730908871 2.176488533 -0.149660080 0.000000000 0.000000000 0.000000000 -0.053130179 0.998587595
1551196599.761132240 2.194097567 -0.151539188 0.000000000 0.000000000 0.000000000 -0.053363927 0.998575131
1551196599.791448116 2.211759607 -0.153432316 0.000000000 0.000000000 0.000000000 -0.053537994 0.998565813
1551196599.842204809 2.241329271 -0.156612205 0.000000000 0.000000000 0.000000000 -0.053878078 0.998547521
1551196599.872459650 2.258953805 -0.158519672 0.000000000 0.000000000 0.000000000 -0.054092877 0.998535909
1551196599.902743340 2.276594377 -0.160436555 0.000000000 0.000000000 0.000000000 -0.054322393 0.998523449
1551196599.932926893 2.294175635 -0.162355170 0.000000000 0.000000000 0.000000000 -0.054514979 0.998512953
1551196599.963137627 2.311772074 -0.164282310 0.000000000 0.000000000 0.000000000 -0.054683606 0.998503732
1551196600.003595829 2.335336323 -0.166871093 0.000000000 0.000000000 0.000000000 -0.054915892 0.998490984
1551196600.033843279 2.352952473 -0.168814709 0.000000000 0.000000000 0.000000000 -0.055116128 0.998479951
1551196600.064067364 2.370554284 -0.170763890 0.000000000 0.000000000 0.000000000 -0.055330693 0.998468084
1551196600.104338169 2.394006037 -0.173371081 0.000000000 0.000000000 0.000000000 -0.055600495 0.998453096
1551196600.134556293 2.411602496 -0.175336953 0.000000000 0.000000000 0.000000000 -0.055802943 0.998441802
1551196600.164776325 2.429459972 -0.177339317 0.000000000 0.000000000 0.000000000 -0.055981265 0.998431819
1551196600.205568075 2.453563344 -0.180050754 0.000000000 0.000000000 0.000000000 -0.056270836 0.998415541
1551196600.235865116 2.471203193 -0.182045459 0.000000000 0.000000000 0.000000000 -0.056447188 0.998405586
1551196600.266170025 2.488846797 -0.184046901 0.000000000 0.000000000 0.000000000 -0.056642946 0.998394499
