# time x y z qx qy qz qw
1551196596.911392927 0.099951826 -0.000407432 0.000000000 0.000000000 0.000000000 -0.004965792 0.999987670
1551196597.093830347 0.154453803 0.004341282 0.000000000 0.000000000 0.000000000 -0.006618060 0.999978100
1551196597.248972416 0.257097661 0.007543316 0.000000000 0.000000000 0.000000000 -0.007404550 0.999972586
1551196597.431926250 0.335073019 0.010631642 0.000000000 0.000000000 0.000000000 -0.009283482 0.999956908
1551196597.526213408 0.410789946 0.008522154 0.000000000 0.000000000 0.000000000 -0.008078587 0.999967368
1551196597.617453337 0.519009605 -0.026808007 0.000000000 0.000000000 0.000000000 -0.009413241 0.999955694
1551196597.757939339 0.809250564 -0.028182895 0.000000000 0.000000000 0.000000000 -0.033519708 0.999438057
1551196597.912565231 0.897055768 -0.034255556 0.000000000 0.000000000 0.000000000 -0.036191864 0.999344860
1551196598.034877300 0.992607980 -0.041358450 0.000000000 0.000000000 0.000000000 -0.038605717 0.999254521
1551196598.156079054 1.079342083 -0.048211498 0.000000000 0.000000000 0.000000000 -0.040772753 0.999168446
1551196598.371517897 1.177666287 -0.056419397 0.000000000 0.000000000 0.000000000 -0.042610729 0.999091750
1551196598.444829702 1.037294491 -0.008379260 0.000000000 0.000000000 0.000000000 -0.030706192 0.999528454
1551196598.555926561 1.312677165 -0.068150143 0.000000000 0.000000000 0.000000000 -0.044067854 0.999028540
1551196598.790395975 1.471689430 -0.082370917 0.000000000 0.000000000 0.000000000 -0.045200111 0.998977953
1551196599.053750992 1.625857091 -0.096492258 0.000000000 0.000000000 0.000000000 -0.046242765 0.998930231
1551196599.225433111 1.740757594 -0.107233581 0.000000000 0.000000000 0.000000000 -0.047129154 0.998888804
1551196599.500123739 1.825531530 -0.105611526 0.000000000 0.000000000 0.000000000 -0.050944895 0.998701466
1551196599.751010418 1.857924876 -0.114529635 0.000000000 0.000000000 0.000000000 -0.050305156 0.998733894
1551196599.922853947 2.030669010 -0.123124913 0.000000000 0.000000000 0.000000000 -0.050252979 0.998736521
1551196600.094267607 2.206033354 -0.143157239 0.000000000 0.000000000 0.000000000 -0.050165991 0.998740894
1551196600.286277294 2.300446912 -0.159345479 0.000000000 0.000000000 0.000000000 -0.051403332 0.998677975
1551196600.448801756 2.381225073 -0.156135822 0.000000000 0.000000000 0.000000000 -0.049686173 0.998764879
1551196600.590540886 2.451093320 -0.195820590 0.000000000 0.000000000 0.000000000 -0.050824102 0.998707620
1551196600.724347830 2.579331243 -0.190910464 0.000000000 0.000000000 0.000000000 -0.051708701 0.998662210
1551196600.897822857 2.714804938 -0.226457349 0.000000000 0.000000000 0.000000000 -0.049539710 0.998772155
1551196601.079295874 2.823056607 -0.258656584 0.000000000 0.000000000 0.000000000 -0.048183850 0.998838484
1551196601.247021198 2.927657565 -0.286016349 0.000000000 0.000000000 0.000000000 -0.048487086 0.998823810
1551196601.419294357 3.027730344 -0.281488634 0.000000000 0.000000000 0.000000000 -0.053808207 0.998551289
1551196601.571022749 3.155961091 -0.281968991 0.000000000 0.000000000 0.000000000 -0.059020129 0.998256793
1551196601.822738409 3.228763387 -0.278564813 0.000000000 0.000000000 0.000000000 -0.059216264 0.998245177
1551196601.976127386 3.306160526 -0.289095048 0.000000000 0.000000000 0.000000000 -0.060324135 0.998178841
1551196602.110776901 3.377868112 -0.299033014 0.000000000 0.000000000 0.000000000 -0.061781960 0.998089670
1551196602.273486137 3.459675625 -0.313533247 0.000000000 0.000000000 0.000000000 -0.060419695 0.998173061
1551196602.466339111 3.523228221 -0.296580021 0.000000000 0.000000000 0.000000000 -0.063196293 0.998001117
1551196602.628811121 3.639764824 -0.327985285 0.000000000 0.000000000 0.000000000 -0.059836982 0.998208162
1551196602.819180727 3.677502990 -0.328171975 0.000000000 0.000000000 0.000000000 -0.063604541 0.997975181
1551196602.982372284 3.741448414 -0.337440569 0.000000000 0.000000000 0.000000000 -0.061440089 0.998110773
1551196603.169652224 3.828383433 -0.348290325 0.000000000 0.000000000 0.000000000 -0.059771949 0.998212059
1551196603.337501049 3.926413378 -0.325189091 0.000000000 0.000000000 0.000000000 -0.060221365 0.998185047
1551196603.613454819 4.025857343 -0.332196704 0.000000000 0.000000000 0.000000000 -0.061946977 0.998079442
1551196603.751313686 4.188192493 -0.405166146 0.000000000 0.000000000 0.000000000 -0.054661657 0.998504934
1551196603.903424263 4.363108040 -0.408638773 0.000000000 0.000000000 0.000000000 -0.054296156 0.998524876
1551196604.038266182 4.386162042 -0.339944880 0.000000000 0.000000000 0.000000000 -0.060531355 0.998166296
1551196604.159883976 4.429093903 -0.314074990 0.000000000 0.000000000 0.000000000 -0.062796897 0.998026327
1551196604.294660807 4.619167331 -0.439003136 0.000000000 0.000000000 0.000000000 -0.046894914 0.998899828
1551196604.467610598 4.659500621 -0.413742483 0.000000000 0.000000000 0.000000000 -0.048545278 0.998820983
1551196604.619165182 4.754662825 -0.421239877 0.000000000 0.000000000 0.000000000 -0.047634134 0.998864850
1551196604.749252796 4.797823714 -0.455301274 0.000000000 0.000000000 0.000000000 -0.043331379 0.999060755
1551196605.042195320 4.831064315 -0.441530668 0.000000000 0.000000000 0.000000000 -0.044003782 0.999031364
1551196605.250684738 4.986636603 -0.469693768 0.000000000 0.000000000 0.000000000 -0.043176478 0.999067461
1551196605.496209145 5.205989103 -0.512579089 0.000000000 0.000000000 0.000000000 -0.034155671 0.999416525
1551196605.663766146 5.431320137 -0.512893801 0.000000000 0.000000000 0.000000000 -0.031118853 0.999515691
1551196605.843729973 5.559132310 -0.525889372 0.000000000 0.000000000 0.000000000 -0.028558017 0.999592137
1551196606.035219431 5.655769373 -0.524220347 0.000000000 0.000000000 0.000000000 -0.021609525 0.999766487
