# time x y z qx qy qz qw
1551192344.393554211 3.729636348 0.051083767 0.736150000 0.631754569 -0.621824019 0.324191907 -0.330334166
1551192344.505249977 3.739139512 0.037849182 0.736150000 0.631045415 -0.622543678 0.324568205 -0.329964443
1551192344.709078789 3.737304693 0.039787625 0.736150000 0.630676211 -0.622917702 0.324763777 -0.329771955
1551192344.907680511 3.724448695 0.044926753 0.736150000 0.631328990 -0.622256100 0.324417835 -0.330112287
1551192345.009087086 3.738622751 0.038562331 0.736150000 0.630743173 -0.622849899 0.324728324 -0.329806866
1551192345.110094309 3.748613204 0.045691879 0.736150000 0.631387567 -0.622196662 0.324386756 -0.330142826
1551192345.293340445 3.750833151 0.039099712 0.736150000 0.630717613 -0.622875782 0.324741858 -0.329793540
1551192345.495910406 3.742295161 0.044797426 0.736150000 0.631407313 -0.622176624 0.324376279 -0.330153121
1551192345.690341473 3.748612704 0.036220510 0.736150000 0.630926280 -0.622664416 0.324631338 -0.329902331
1551192345.910262346 3.736962820 0.042428282 0.736150000 0.631627964 -0.621952620 0.324259150 -0.330268159
1551192346.044811726 3.755020900 0.041260303 0.736150000 0.630916531 -0.622674295 0.324636503 -0.329897248
1551192346.172954559 3.736039822 0.035794798 0.736150000 0.630611721 -0.622982989 0.324797915 -0.329738333
1551192346.294619560 3.741806596 0.038611085 0.736150000 0.630711884 -0.622881583 0.324744891 -0.329790554
1551192346.447645426 3.743096569 0.036286699 0.736150000 0.630384555 -0.623212852 0.324918108 -0.329619897
1551192346.542829514 3.742285248 0.026405041 0.736150000 0.629856720 -0.623746309 0.325197046 -0.329344705
1551192346.735710382 3.736636649 0.038420496 0.736150000 0.631554653 -0.622027063 0.324298075 -0.330229938
1551192346.887685061 3.754668361 0.038455164 0.736150000 0.630105721 -0.623494769 0.325065518 -0.329474524
1551192347.039053917 3.744401035 0.041868875 0.736150000 0.630412376 -0.623184710 0.324903392 -0.329634402
1551192347.374938250 3.750556265 0.035200158 0.736150000 0.629792774 -0.623810875 0.325230806 -0.329311366
1551192347.564187765 3.719546798 0.045127313 0.736150000 0.631171703 -0.622415639 0.324501256 -0.330030284
