# time x y z qx qy qz qw
1551197586.687946320 4.269631013 0.061770577 0.736150000 0.632669914 -0.620892685 0.323704929 -0.330811385
1551197586.789052248 4.318749775 0.063832492 0.736150000 0.632817951 -0.620741804 0.323626036 -0.330888565
1551197586.882587433 4.366099500 0.065531410 0.736150000 0.632934957 -0.620622499 0.323563654 -0.330949566
1551197586.974671841 4.414038022 0.067069403 0.736150000 0.633036928 -0.620518488 0.323509268 -0.331002729
1551197587.075533390 4.469165698 0.069137923 0.736150000 0.633177522 -0.620375026 0.323434254 -0.331076028
1551197587.166388273 4.519878033 0.070846450 0.736150000 0.633288740 -0.620261492 0.323374890 -0.331134012
1551197587.297774553 4.596242430 0.073993549 0.736150000 0.633500793 -0.620044911 0.323261644 -0.331244567
1551197587.390024900 4.650661713 0.076138371 0.736150000 0.633641079 -0.619901548 0.323186682 -0.331317705
1551197587.484928370 4.707004141 0.077854545 0.736150000 0.633742732 -0.619797625 0.323132343 -0.331370702
1551197587.596660376 4.774865644 0.079902392 0.736150000 0.633861485 -0.619676177 0.323068841 -0.331432614
1551197587.687325239 4.831753132 0.082304957 0.736150000 0.634015783 -0.619518308 0.322986294 -0.331513057
1551197587.810636520 4.910367296 0.085360383 0.736150000 0.634203171 -0.619326476 0.322885990 -0.331610752
1551197587.911577225 4.975679174 0.088382778 0.736150000 0.634395683 -0.619129279 0.322782880 -0.331711118
1551197587.999779701 5.033065212 0.090574806 0.736150000 0.634523982 -0.618997789 0.322714127 -0.331778007
1551197588.101872444 5.100638225 0.093069367 0.736150000 0.634665480 -0.618852709 0.322638268 -0.331851777
1551197588.226005316 5.182867501 0.096858107 0.736150000 0.634895828 -0.618616387 0.322514701 -0.331971868
1551197588.327145576 5.249566440 0.098571021 0.736150000 0.634967414 -0.618542909 0.322476281 -0.332009189
1551197588.417843103 5.309099380 0.100830513 0.736150000 0.635090101 -0.618416939 0.322410414 -0.332073152
1551197588.514792919 5.373029093 0.102705549 0.736150000 0.635174465 -0.618330289 0.322365107 -0.332117135
1551197588.637802839 5.453061797 0.105621452 0.736150000 0.635324770 -0.618175851 0.322284355 -0.332195497
