# time x y z qx qy qz qw
1551197586.687946320 3.819631385 0.043503475 0.734782077 0.631793593 -0.621670153 0.324169013 -0.330571516
1551197586.789052248 3.819631385 0.043503475 0.734782077 0.631793593 -0.621670153 0.324169013 -0.330571516
1551197586.882587433 3.837112673 0.044479434 0.734448271 0.632001579 -0.621403264 0.324084788 -0.330758278
1551197586.974671841 3.837112673 0.044479434 0.734448271 0.632001579 -0.621403264 0.324084788 -0.330758278
1551197587.075533390 3.853834867 0.045242169 0.733164045 0.632079331 -0.620988166 0.324178385 -0.331297135
1551197587.166388273 3.868673709 0.046438108 0.732798915 0.632349199 -0.620760315 0.324083444 -0.331302041
1551197587.297774553 3.872896186 0.046749986 0.732712935 0.632413301 -0.620705831 0.324060518 -0.331304194
1551197587.390024900 3.872896186 0.046749986 0.732712935 0.632413301 -0.620705831 0.324060518 -0.331304194
1551197587.484928370 3.886905873 0.047697919 0.731546303 0.632670190 -0.620220670 0.324222955 -0.331563306
1551197587.596660376 3.890281236 0.048432960 0.731898357 0.632970592 -0.620381771 0.323830093 -0.331072136
1551197587.687325239 3.890281236 0.048432960 0.731898357 0.632970592 -0.620381771 0.323830093 -0.331072136
1551197587.810636520 3.920749576 0.049111957 0.731032211 0.633516189 -0.619606448 0.323449380 -0.331851753
1551197587.911577225 3.920749576 0.049111957 0.731032211 0.633516189 -0.619606448 0.323449380 -0.331851753
1551197587.999779701 3.920749576 0.049111957 0.731032211 0.633516189 -0.619606448 0.323449380 -0.331851753
1551197588.101872444 3.937033458 0.051254181 0.731059110 0.633584396 -0.619896871 0.322919786 -0.331694881
1551197588.226005316 3.998192826 0.054331437 0.729863499 0.634239838 -0.618851604 0.322848613 -0.332462470
1551197588.327145576 3.998192826 0.054331437 0.729863499 0.634239838 -0.618851604 0.322848613 -0.332462470
1551197588.417843103 4.022851656 0.055805074 0.727379857 0.634507576 -0.618008722 0.323252527 -0.333126342
1551197588.514792919 4.022851656 0.055805074 0.727379857 0.634507576 -0.618008722 0.323252527 -0.333126342
1551197588.637802839 4.048241003 0.057689720 0.727517236 0.634900585 -0.618080914 0.322630364 -0.332846630
1551197588.739459515 4.086208335 0.060252815 0.726213173 0.635444692 -0.617514738 0.322602125 -0.332886560
1551197588.830585480 4.086208335 0.060252815 0.726213173 0.635444692 -0.617514738 0.322602125 -0.332886560
1551197588.931352377 4.109334619 0.062106824 0.724184476 0.635862796 -0.616861719 0.322748678 -0.333156742
1551197589.023054838 4.110560634 0.062214585 0.724075941 0.635885957 -0.616825438 0.322756932 -0.333171715
1551197589.152593851 4.110560634 0.062214585 0.724075941 0.635885957 -0.616825438 0.322756932 -0.333171715
1551197589.253991127 4.140270582 0.064905194 0.724053830 0.636203791 -0.616706585 0.322286438 -0.333240417
1551197589.345467329 4.140270582 0.064905194 0.724053830 0.636203791 -0.616706585 0.322286438 -0.333240417
1551197589.446508884 4.176823904 0.069362469 0.724778201 0.636366522 -0.617141393 0.321530940 -0.332854332
1551197589.537933350 4.176823904 0.069362469 0.724778201 0.636366522 -0.617141393 0.321530940 -0.332854332
1551197589.662373304 4.208355852 0.068089353 0.722855095 0.636903085 -0.616395965 0.321475653 -0.333262478
1551197589.763170719 4.208355852 0.068089353 0.722855095 0.636903085 -0.616395965 0.321475653 -0.333262478
1551197589.854457617 4.215803157 0.070893659 0.722207510 0.637075529 -0.616321937 0.320914923 -0.333610030
1551197589.955368280 4.215803157 0.070893659 0.722207510 0.637075529 -0.616321937 0.320914923 -0.333610030
1551197590.046283007 4.231570612 0.071538817 0.719542188 0.637436925 -0.615526506 0.321685700 -0.333645917
1551197590.169087648 4.231570612 0.071538817 0.719542188 0.637436925 -0.615526506 0.321685700 -0.333645917
1551197590.229557753 4.262679253 0.077154722 0.723798554 0.637491738 -0.616387656 0.320366035 -0.333220865
1551197590.364697933 4.284891786 0.080629851 0.724107449 0.637750117 -0.616392415 0.320023937 -0.333046330
1551197590.455722570 4.286335992 0.080856749 0.724122706 0.637766911 -0.616392723 0.320001684 -0.333034984
1551197590.580686569 4.286335992 0.080856749 0.724122706 0.637766911 -0.616392723 0.320001684 -0.333034984
1551197590.681859016 4.315372184 0.081492313 0.718540558 0.638287345 -0.615349479 0.320532829 -0.333456127
1551197590.772507429 4.376150429 0.085315863 0.717570235 0.639014301 -0.614635820 0.319967309 -0.333922826
1551197590.875597239 4.376150429 0.085315863 0.717570235 0.639014301 -0.614635820 0.319967309 -0.333922826
1551197590.967021465 4.376150429 0.085315863 0.717570235 0.639014301 -0.614635820 0.319967309 -0.333922826
1551197591.089119673 4.391737868 0.085479168 0.716665245 0.639552168 -0.614032693 0.319770763 -0.334190867
1551197591.189951658 4.391737868 0.085479168 0.716665245 0.639552168 -0.614032693 0.319770763 -0.334190867
1551197591.282717705 4.435097617 0.090297194 0.714424166 0.639225711 -0.614241634 0.320030023 -0.334183319
1551197591.385170460 4.462849101 0.090092515 0.712809230 0.639624682 -0.613751375 0.319814268 -0.334527054
1551197591.477603436 4.466141397 0.090092007 0.712625687 0.639671290 -0.613694151 0.319789044 -0.334567029
1551197591.583762169 4.466141397 0.090092007 0.712625687 0.639671290 -0.613694151 0.319789044 -0.334567029
1551197591.705365896 4.472131191 0.092732737 0.711925817 0.640029485 -0.613589291 0.319880351 -0.333986528
1551197591.798902035 4.472131191 0.092732737 0.711925817 0.640029485 -0.613589291 0.319880351 -0.333986528
1551197591.894509792 4.516509684 0.095289679 0.711685348 0.640133901 -0.613277168 0.319691652 -0.334539910
1551197591.996898651 4.516509684 0.095289679 0.711685348 0.640133901 -0.613277168 0.319691652 -0.334539910
1551197592.119948864 4.531129682 0.097331660 0.711987617 0.640448240 -0.613510910 0.319636502 -0.333560972
1551197592.221400261 4.531129682 0.097331660 0.711987617 0.640448240 -0.613510910 0.319636502 -0.333560972
1551197592.323098183 4.539442456 0.097113693 0.708562352 0.640338805 -0.613056136 0.320264403 -0.334004642
1551197592.416946411 4.539442456 0.097113693 0.708562352 0.640338805 -0.613056136 0.320264403 -0.334004642
1551197592.508078337 4.539442456 0.097113693 0.708562352 0.640338805 -0.613056136 0.320264403 -0.334004642
1551197592.611032963 4.570593761 0.102344774 0.709259471 0.640732387 -0.612949376 0.319564339 -0.334116302
1551197592.733516932 4.570593761 0.102344774 0.709259471 0.640732387 -0.612949376 0.319564339 -0.334116302
1551197592.825498819 4.607911925 0.113199756 0.709566973 0.640838134 -0.613128666 0.319389316 -0.333751688
1551197592.923202753 4.607911925 0.113199756 0.709566973 0.640838134 -0.613128666 0.319389316 -0.333751688
1551197593.013865471 4.633402499 0.112637087 0.706442052 0.640668369 -0.612736973 0.319799284 -0.334403739
1551197593.146210909 4.633402499 0.112637087 0.706442052 0.640668369 -0.612736973 0.319799284 -0.334403739
1551197593.247647047 4.633402499 0.112637087 0.706442052 0.640668369 -0.612736973 0.319799284 -0.334403739
1551197593.341100216 4.648655946 0.111570436 0.707172851 0.641380029 -0.612174664 0.319070388 -0.334765479
1551197593.462447882 4.648655946 0.111570436 0.707172851 0.641380029 -0.612174664 0.319070388 -0.334765479
1551197593.547458172 4.703924176 0.121312387 0.707589084 0.642000260 -0.611936628 0.318603925 -0.334455929
1551197593.640760183 4.703924176 0.121312387 0.707589084 0.642000260 -0.611936628 0.318603925 -0.334455929
1551197593.765707254 4.744976760 0.119684829 0.703233497 0.643253892 -0.610223091 0.318070693 -0.335683249
1551197593.867069960 4.744976760 0.119684829 0.703233497 0.643253892 -0.610223091 0.318070693 -0.335683249
1551197593.968064308 4.766447631 0.122075902 0.698528139 0.643876692 -0.609190620 0.318809222 -0.335663930
1551197594.028661489 4.766447631 0.122075902 0.698528139 0.643876692 -0.609190620 0.318809222 -0.335663930
1551197594.153060675 4.766447631 0.122075902 0.698528139 0.643876692 -0.609190620 0.318809222 -0.335663930
1551197594.243777275 4.788507044 0.128480298 0.698236407 0.644117189 -0.609030150 0.318454791 -0.335830119
1551197594.376704931 4.789368688 0.128728181 0.698223900 0.644127611 -0.609022542 0.318440939 -0.335837063
1551197594.479057789 4.789368688 0.128728181 0.698223900 0.644127611 -0.609022542 0.318440939 -0.335837063
1551197594.570105314 4.825164570 0.129703061 0.696187698 0.645781631 -0.607539012 0.317012551 -0.336697901
1551197594.669358492 4.825164570 0.129703061 0.696187698 0.645781631 -0.607539012 0.317012551 -0.336697901
1551197594.791759014 4.861058294 0.136494061 0.694759996 0.646458029 -0.606894364 0.316063106 -0.337454237
1551197594.882362604 4.861058294 0.136494061 0.694759996 0.646458029 -0.606894364 0.316063106 -0.337454237
1551197594.984159946 4.897445351 0.144614222 0.691187734 0.647904664 -0.605307045 0.315682541 -0.337886757
1551197595.075862646 4.897445351 0.144614222 0.691187734 0.647904664 -0.605307045 0.315682541 -0.337886757
1551197595.203796864 4.952509158 0.157169560 0.689155033 0.649455728 -0.603663796 0.314985591 -0.338498679
1551197595.302387238 4.952509158 0.157169560 0.689155033 0.649455728 -0.603663796 0.314985591 -0.338498679
1551197595.396913767 4.966456981 0.157632920 0.686812869 0.650213173 -0.602767466 0.314311013 -0.339268034
1551197595.523036718 4.966456981 0.157632920 0.686812869 0.650213173 -0.602767466 0.314311013 -0.339268034
1551197595.613847256 5.013429392 0.164783053 0.686440712 0.652552157 -0.600537935 0.312746898 -0.340175319
1551197595.712979794 5.013429392 0.164783053 0.686440712 0.652552157 -0.600537935 0.312746898 -0.340175319
1551197595.813810587 5.048821012 0.176279808 0.682657553 0.653783085 -0.599030231 0.311835893 -0.341304608
1551197595.914625168 5.048821012 0.176279808 0.682657553 0.653783085 -0.599030231 0.311835893 -0.341304608
1551197596.036321402 5.059583533 0.182406155 0.682638404 0.654616921 -0.598389605 0.311244704 -0.341369742
1551197596.137813330 5.059583533 0.182406155 0.682638404 0.654616921 -0.598389605 0.311244704 -0.341369742
1551197596.228458405 5.059583533 0.182406155 0.682638404 0.654616921 -0.598389605 0.311244704 -0.341369742
1551197596.335631609 5.118472090 0.208369982 0.676924567 0.658210399 -0.594173354 0.308751368 -0.344078027
1551197596.446653843 5.118472090 0.208369982 0.676924567 0.658210399 -0.594173354 0.308751368 -0.344078027
1551197596.548139811 5.136447374 0.211688454 0.677524681 0.659809994 -0.592429653 0.307950183 -0.344738398
1551197596.640545368 5.136447374 0.211688454 0.677524681 0.659809994 -0.592429653 0.307950183 -0.344738398
1551197596.741214037 5.157799455 0.222541837 0.677509226 0.662410501 -0.589674880 0.306671225 -0.345613402
1551197596.835574865 5.157799455 0.222541837 0.677509226 0.662410501 -0.589674880 0.306671225 -0.345613402
1551197596.962184668 5.157799455 0.222541837 0.677509226 0.662410501 -0.589674880 0.306671225 -0.345613402
1551197597.054610491 5.204511780 0.247106260 0.674192221 0.668064017 -0.583209357 0.303846684 -0.348187460
1551197597.146722794 5.204511780 0.247106260 0.674192221 0.668064017 -0.583209357 0.303846684 -0.348187460
1551197597.250302792 5.221968564 0.256280628 0.672950167 0.670513288 -0.580524194 0.302313520 -0.349299479
1551197597.371755838 5.221968564 0.256280628 0.672950167 0.670513288 -0.580524194 0.302313520 -0.349299479
1551197597.475499153 5.256048741 0.279360546 0.670214798 0.676328182 -0.573836540 0.298502226 -0.352403514
1551197597.567773342 5.256048741 0.279360546 0.670214798 0.676328182 -0.573836540 0.298502226 -0.352403514
1551197597.669822216 5.256048741 0.279360546 0.670214798 0.676328182 -0.573836540 0.298502226 -0.352403514
1551197597.761827469 5.277051638 0.289802428 0.668067393 0.681663979 -0.567186860 0.294849439 -0.355945351
1551197597.883134365 5.277051638 0.289802428 0.668067393 0.681663979 -0.567186860 0.294849439 -0.355945351
1551197597.984755278 5.317445022 0.325532771 0.665103753 0.690405481 -0.556866048 0.288509800 -0.360558694
1551197598.056820154 5.317445022 0.325532771 0.665103753 0.690405481 -0.556866048 0.288509800 -0.360558694
1551197598.174098969 5.335983379 0.342566581 0.665859257 0.694067201 -0.552374774 0.286172219 -0.362295861
1551197598.265626431 5.335983379 0.342566581 0.665859257 0.694067201 -0.552374774 0.286172219 -0.362295861
1551197598.400161266 5.348139976 0.351092798 0.664956470 0.698569285 -0.546808364 0.283549552 -0.364144502
1551197598.495249510 5.370494010 0.371386978 0.662271943 0.701473000 -0.542859507 0.281363426 -0.366160906
1551197598.598907948 5.370494010 0.371386978 0.662271943 0.701473000 -0.542859507 0.281363426 -0.366160906
1551197598.689493418 5.387487665 0.396694441 0.663702292 0.706724447 -0.536272222 0.278073367 -0.368276882
1551197598.814713240 5.387487665 0.396694441 0.663702292 0.706724447 -0.536272222 0.278073367 -0.368276882
1551197598.909187078 5.396773100 0.411783945 0.657627662 0.708601624 -0.533045641 0.276079308 -0.370845384
1551197599.011227846 5.396773100 0.411783945 0.657627662 0.708601624 -0.533045641 0.276079308 -0.370845384
1551197599.107992411 5.418119205 0.445287506 0.657077580 0.717647411 -0.520734848 0.269972428 -0.375409509
1551197599.210045815 5.427189032 0.455630050 0.654852189 0.720851364 -0.516014683 0.267438465 -0.377596114
1551197599.333365440 5.428455825 0.457238070 0.654551730 0.721304743 -0.515341185 0.267077595 -0.377905398
1551197599.435621738 5.428455825 0.457238070 0.654551730 0.721304743 -0.515341185 0.267077595 -0.377905398
1551197599.530049324 5.441180160 0.475497020 0.654622697 0.726443816 -0.508231475 0.263044295 -0.380509986
1551197599.623997450 5.441180160 0.475497020 0.654622697 0.726443816 -0.508231475 0.263044295 -0.380509986
1551197599.728594542 5.455257080 0.494749865 0.654026896 0.730922821 -0.501908309 0.260489762 -0.382079787
1551197599.855029345 5.455257080 0.494749865 0.654026896 0.730922821 -0.501908309 0.260489762 -0.382079787
1551197599.957061768 5.465523507 0.506412822 0.654658303 0.734403038 -0.497022569 0.256920885 -0.384203594
1551197600.047688723 5.465523507 0.506412822 0.654658303 0.734403038 -0.497022569 0.256920885 -0.384203594
1551197600.169964314 5.476042942 0.530313438 0.655231371 0.737730849 -0.492374206 0.254432470 -0.385467188
1551197600.272688150 5.476042942 0.530313438 0.655231371 0.737730849 -0.492374206 0.254432470 -0.385467188
1551197600.387798548 5.476042942 0.530313438 0.655231371 0.737730849 -0.492374206 0.254432470 -0.385467188
1551197600.458630800 5.494375313 0.561409758 0.649029174 0.744942143 -0.480522700 0.248610387 -0.390322960
1551197600.559280396 5.494375313 0.561409758 0.649029174 0.744942143 -0.480522700 0.248610387 -0.390322960
1551197600.681701183 5.527869143 0.617787204 0.642989744 0.754134367 -0.465267330 0.241107992 -0.395821430
1551197600.773674726 5.527869143 0.617787204 0.642989744 0.754134367 -0.465267330 0.241107992 -0.395821430
1551197600.867810488 5.527869143 0.617787204 0.642989744 0.754134367 -0.465267330 0.241107992 -0.395821430
1551197600.969074965 5.541005510 0.642486196 0.643707456 0.757610099 -0.459634052 0.236253040 -0.398682802
1551197601.065785408 5.541005510 0.642486196 0.643707456 0.757610099 -0.459634052 0.236253040 -0.398682802
1551197601.197903395 5.541005510 0.642486196 0.643707456 0.757610099 -0.459634052 0.236253040 -0.398682802
1551197601.289071560 5.553939221 0.674574399 0.641845043 0.764088289 -0.447986382 0.230354763 -0.403006168
1551197601.389901876 5.553939221 0.674574399 0.641845043 0.764088289 -0.447986382 0.230354763 -0.403006168
1551197601.480971813 5.553939221 0.674574399 0.641845043 0.764088289 -0.447986382 0.230354763 -0.403006168
1551197601.586953402 5.577014467 0.743490493 0.640193775 0.774608571 -0.430910314 0.220783872 -0.406881243
1551197601.710909128 5.577014467 0.743490493 0.640193775 0.774608571 -0.430910314 0.220783872 -0.406881243
