# time x y z qx qy qz qw
1551197431.520041466 3.814766916 0.036519558 0.732992556 0.632158834 -0.620688901 0.325013643 -0.330887638
1551197431.622677565 3.814766916 0.036519558 0.732992556 0.632158834 -0.620688901 0.325013643 -0.330887638
1551197431.714949608 3.834035330 0.037141909 0.733485170 0.632139994 -0.621433795 0.324868919 -0.329665364
1551197431.816422462 3.834035330 0.037141909 0.733485170 0.632139994 -0.621433795 0.324868919 -0.329665364
1551197431.917562962 3.858707561 0.033429487 0.732922374 0.631291812 -0.622063252 0.325506028 -0.329475014
1551197432.008526325 3.858707561 0.033429487 0.732922374 0.631291812 -0.622063252 0.325506028 -0.329475014
1551197432.111704111 3.861927258 0.034203503 0.732850433 0.631084878 -0.622502641 0.325406773 -0.329139440
1551197432.236834049 3.862426430 0.034156074 0.732834782 0.631051335 -0.622560492 0.325402878 -0.329098181
1551197432.338414431 3.862426430 0.034156074 0.732834782 0.631051335 -0.622560492 0.325402878 -0.329098181
1551197432.429114103 3.867800794 0.034334228 0.732216521 0.630483734 -0.623071776 0.325779299 -0.328845970
1551197432.520090342 3.867800794 0.034334228 0.732216521 0.630483734 -0.623071776 0.325779299 -0.328845970
1551197432.620975018 3.889650879 0.031491148 0.731866210 0.628732410 -0.624733693 0.326833737 -0.327998595
1551197432.742829561 3.889650879 0.031491148 0.731866210 0.628732410 -0.624733693 0.326833737 -0.327998595
1551197432.843711615 3.905709123 0.029345343 0.732594623 -0.626729825 0.627514179 -0.327234385 0.326118596
1551197432.944969177 3.905709123 0.029345343 0.732594623 -0.626729825 0.627514179 -0.327234385 0.326118596
1551197433.037380457 3.905709123 0.029345343 0.732594623 -0.626729825 0.627514179 -0.327234385 0.326118596
1551197433.138096333 3.929344323 0.022072418 0.731900908 -0.625078761 0.629028139 -0.327941506 0.325660116
1551197433.240251780 3.929344323 0.022072418 0.731900908 -0.625078761 0.629028139 -0.327941506 0.325660116
1551197433.331441164 3.929344323 0.022072418 0.731900908 -0.625078761 0.629028139 -0.327941506 0.325660116
1551197433.432096481 3.928198222 0.025042740 0.731815411 -0.623009133 0.631170927 -0.328668326 0.324746073
1551197433.553111792 3.928198222 0.025042740 0.731815411 -0.623009133 0.631170927 -0.328668326 0.324746073
1551197433.655189276 3.969082256 0.014125145 0.730770396 -0.619005323 0.635362451 -0.330485274 0.322376254
1551197433.756168365 3.969082256 0.014125145 0.730770396 -0.619005323 0.635362451 -0.330485274 0.322376254
1551197433.851022720 3.969082256 0.014125145 0.730770396 -0.619005323 0.635362451 -0.330485274 0.322376254
1551197433.953250647 3.971515836 0.014408448 0.730200542 -0.616548401 0.637948809 -0.331742963 0.320680516
1551197434.045103312 3.971515836 0.014408448 0.730200542 -0.616548401 0.637948809 -0.331742963 0.320680516
1551197434.173125982 3.971515836 0.014408448 0.730200542 -0.616548401 0.637948809 -0.331742963 0.320680516
1551197434.263804197 3.971515836 0.014408448 0.730200542 -0.616548401 0.637948809 -0.331742963 0.320680516
1551197434.365312815 3.989999566 0.006229363 0.728585921 -0.614621844 0.639426266 -0.333401057 0.319715146
1551197434.456993341 3.989999566 0.006229363 0.728585921 -0.614621844 0.639426266 -0.333401057 0.319715146
