# time x y z qx qy qz qw
1551196597.476942778 3.812633468 0.019632185 0.736604805 0.628635985 -0.625555747 0.325590308 -0.327853255
1551196597.579191446 3.812633468 0.019632185 0.736604805 0.628635985 -0.625555747 0.325590308 -0.327853255
1551196597.670564651 3.885738363 -0.006044438 0.733357582 -0.625608057 0.628554517 -0.327039041 0.326464766
1551196597.775645256 3.885738363 -0.006044438 0.733357582 -0.625608057 0.628554517 -0.327039041 0.326464766
1551196597.888518572 3.957717921 -0.029325054 0.729871481 -0.622462596 0.631681566 -0.328537505 0.324933567
1551196597.980979443 3.957717921 -0.029325054 0.729871481 -0.622462596 0.631681566 -0.328537505 0.324933567
1551196598.073320866 4.027736978 -0.055510116 0.728574177 -0.619307740 0.635068391 -0.329552282 0.323328555
1551196598.174801826 4.034616484 -0.057202150 0.728430837 -0.619079647 0.635319766 -0.329609195 0.323213497
1551196598.295944452 4.143088715 -0.096046886 0.723402501 -0.614623456 0.640000230 -0.331104278 0.320948081
1551196598.387580872 4.143088715 -0.096046886 0.723402501 -0.614623456 0.640000230 -0.331104278 0.320948081
1551196598.478727102 4.221640460 -0.116391756 0.717305391 -0.611624744 0.642347268 -0.333349977 0.319660684
1551196598.573476791 4.229751858 -0.118447155 0.716700918 -0.611327609 0.642576053 -0.333574995 0.319534494
1551196598.704790592 4.301907834 -0.139125979 0.713550399 -0.608756923 0.645250717 -0.334670974 0.317902281
1551196598.796293974 4.301907834 -0.139125979 0.713550399 -0.608756923 0.645250717 -0.334670974 0.317902281
1551196598.899912596 4.364310821 -0.154567547 0.707997929 -0.606810491 0.646607786 -0.336213097 0.317238322
1551196598.991554499 4.364310821 -0.154567547 0.707997929 -0.606810491 0.646607786 -0.336213097 0.317238322
1551196599.114261389 4.364310821 -0.154567547 0.707997929 -0.606810491 0.646607786 -0.336213097 0.317238322
1551196599.215147257 4.483486770 -0.188352468 0.710947338 -0.603312723 0.650956939 -0.336406234 0.314800997
1551196599.306744099 4.483486770 -0.188352468 0.710947338 -0.603312723 0.650956939 -0.336406234 0.314800997
1551196599.410301447 4.655265187 -0.214759850 0.702500089 -0.601678825 0.652840373 -0.336473425 0.313954889
1551196599.505684376 4.655265187 -0.214759850 0.702500089 -0.601678825 0.652840373 -0.336473425 0.313954889
1551196599.638019800 4.761697558 -0.227677781 0.690066622 -0.600669962 0.653180695 -0.337698903 0.313863071
1551196599.730908632 4.761697558 -0.227677781 0.690066622 -0.600669962 0.653180695 -0.337698903 0.313863071
1551196599.842110634 4.815278444 -0.233901759 0.685507240 -0.600227066 0.653458831 -0.337829098 0.313991283
1551196599.934645176 4.878241542 -0.242919959 0.684587702 -0.600113924 0.653951622 -0.337752387 0.313263274
1551196600.036965847 4.878241542 -0.242919959 0.684587702 -0.600113924 0.653951622 -0.337752387 0.313263274
1551196600.137807846 4.878241542 -0.242919959 0.684587702 -0.600113924 0.653951622 -0.337752387 0.313263274
1551196600.228993654 4.938088658 -0.247579484 0.680840234 -0.599517872 0.654303667 -0.338920128 0.312407073
1551196600.330465078 4.938088658 -0.247579484 0.680840234 -0.599517872 0.654303667 -0.338920128 0.312407073
1551196600.421422005 4.981642580 -0.254800313 0.679009840 -0.598873035 0.654742328 -0.339117503 0.312510625
1551196600.522234917 4.981642580 -0.254800313 0.679009840 -0.598873035 0.654742328 -0.339117503 0.312510625
1551196600.647155762 5.116155066 -0.282018102 0.675061199 -0.597425698 0.656366042 -0.339242714 0.311737926
1551196600.744889736 5.116155066 -0.282018102 0.675061199 -0.597425698 0.656366042 -0.339242714 0.311737926
1551196600.836211920 5.186607274 -0.290126140 0.668215183 -0.596322635 0.657091079 -0.340165713 0.311316423
1551196600.937077999 5.186607274 -0.290126140 0.668215183 -0.596322635 0.657091079 -0.340165713 0.311316423
1551196601.061112881 5.238552835 -0.296660960 0.665367865 -0.596123911 0.657092218 -0.340734224 0.311072804
1551196601.156380653 5.238552835 -0.296660960 0.665367865 -0.596123911 0.657092218 -0.340734224 0.311072804
1551196601.258015871 5.238552835 -0.296660960 0.665367865 -0.596123911 0.657092218 -0.340734224 0.311072804
1551196601.349328041 5.327069853 -0.313786068 0.660873462 -0.594798271 0.658333477 -0.341454804 0.310194563
1551196601.450993776 5.327069853 -0.313786068 0.660873462 -0.594798271 0.658333477 -0.341454804 0.310194563
1551196601.574511766 5.520469217 -0.354611385 0.648579853 -0.593072696 0.659873458 -0.341601721 0.310064607
1551196601.675362349 5.520469217 -0.354611385 0.648579853 -0.593072696 0.659873458 -0.341601721 0.310064607
1551196601.767898083 5.520469217 -0.354611385 0.648579853 -0.593072696 0.659873458 -0.341601721 0.310064607
1551196601.868968487 5.582568518 -0.361023772 0.646998830 -0.591974036 0.660968820 -0.341906683 0.309494394
1551196601.969726801 5.624798334 -0.367941201 0.649133876 -0.592104698 0.661056413 -0.341990571 0.308964229
1551196602.061165810 5.627431076 -0.368374100 0.649263794 -0.592112838 0.661061866 -0.341995800 0.308931170
1551196602.183696270 5.627431076 -0.368374100 0.649263794 -0.592112838 0.661061866 -0.341995800 0.308931170
1551196602.284707069 5.713519073 -0.381627595 0.641251052 -0.591280359 0.661465933 -0.342929491 0.308625535
1551196602.377524614 5.813014431 -0.394190987 0.640240343 -0.590857017 0.661670319 -0.343141341 0.308762683
1551196602.469646454 5.820333012 -0.395005314 0.640170183 -0.590836531 0.661676072 -0.343151911 0.308777809
1551196602.571331024 5.820333012 -0.395005314 0.640170183 -0.590836531 0.661676072 -0.343151911 0.308777809
1551196602.672370434 5.867182216 -0.401558926 0.639463528 -0.590434127 0.662217946 -0.342979805 0.308577034
1551196602.795783281 5.867182216 -0.401558926 0.639463528 -0.590434127 0.662217946 -0.342979805 0.308577034
1551196602.896558046 5.918551683 -0.408996756 0.639494085 -0.590750184 0.662137488 -0.342860376 0.308277358
1551196602.997963905 5.918551683 -0.408996756 0.639494085 -0.590750184 0.662137488 -0.342860376 0.308277358
1551196603.092961311 5.949141132 -0.408322239 0.636343301 -0.590533891 0.662152465 -0.343059210 0.308438350
1551196603.183872223 5.949141132 -0.408322239 0.636343301 -0.590533891 0.662152465 -0.343059210 0.308438350
1551196603.285508871 5.989624065 -0.414015654 0.634961398 -0.590422275 0.662116042 -0.342862939 0.308948035
1551196603.407552719 6.144472616 -0.437961919 0.633735696 -0.591409264 0.661365701 -0.341507990 0.310165737
1551196603.467948437 6.144472616 -0.437961919 0.633735696 -0.591409264 0.661365701 -0.341507990 0.310165737
1551196603.613723993 6.194762035 -0.436137494 0.631636684 -0.591453741 0.661320820 -0.340861343 0.310887102
1551196603.706539631 6.194762035 -0.436137494 0.631636684 -0.591453741 0.661320820 -0.340861343 0.310887102
1551196603.807701349 6.283760285 -0.436133269 0.624412823 -0.592940027 0.659591233 -0.340977332 0.311602292
1551196603.911576986 6.283760285 -0.436133269 0.624412823 -0.592940027 0.659591233 -0.340977332 0.311602292
1551196604.004020929 6.325482117 -0.428646860 0.621534078 -0.593641654 0.658953240 -0.340672121 0.311949868
1551196604.125085115 6.327472709 -0.428336115 0.621415873 -0.593674245 0.658923591 -0.340657786 0.311966128
1551196604.227310896 6.327472709 -0.428336115 0.621415873 -0.593674245 0.658923591 -0.340657786 0.311966128
1551196604.318930626 6.431654509 -0.422163161 0.618740353 -0.596276871 0.656525330 -0.339386411 0.313440980
1551196604.419846535 6.431654509 -0.422163161 0.618740353 -0.596276871 0.656525330 -0.339386411 0.313440980
1551196604.510729313 6.509642991 -0.408007268 0.608916934 -0.596470226 0.655458881 -0.340495266 0.314101732
1551196604.632221699 6.509642991 -0.408007268 0.608916934 -0.596470226 0.655458881 -0.340495266 0.314101732
1551196604.734535694 6.562670832 -0.402723803 0.605569059 -0.597779594 0.654012989 -0.340313589 0.314822534
1551196604.826094389 6.562670832 -0.402723803 0.605569059 -0.597779594 0.654012989 -0.340313589 0.314822534
1551196604.916755199 6.699960075 -0.394981797 0.607649540 -0.601862619 0.650889854 -0.337648584 0.316381446
1551196605.017601728 6.699960075 -0.394981797 0.607649540 -0.601862619 0.650889854 -0.337648584 0.316381446
1551196605.142812967 6.772954427 -0.382178016 0.602746034 -0.603277472 0.648907082 -0.337835288 0.317558197
1551196605.235096216 6.772954427 -0.382178016 0.602746034 -0.603277472 0.648907082 -0.337835288 0.317558197
