# time x y z qx qy qz qw
1551192354.745916367 3.798092573 0.040036047 0.738281864 0.631120247 -0.622201293 0.324973481 -0.330068206
1551192354.847158670 3.798092573 0.040036047 0.738281864 0.631120247 -0.622201293 0.324973481 -0.330068206
1551192354.937986612 3.798092573 0.040036047 0.738281864 0.631120247 -0.622201293 0.324973481 -0.330068206
1551192355.039142132 3.849159513 0.039768387 0.733830402 0.630826244 -0.622268061 0.324981213 -0.330496477
1551192355.132387161 3.860977959 0.038764650 0.733693636 0.631094057 -0.622038838 0.324760428 -0.330633694
1551192355.254307747 3.862862623 0.038642226 0.733677750 0.631124682 -0.622012735 0.324734943 -0.330649378
1551192355.355782986 3.862862623 0.038642226 0.733677750 0.631124682 -0.622012735 0.324734943 -0.330649378
1551192355.447694302 3.869236856 0.039242170 0.733219483 0.630750321 -0.622326656 0.324842189 -0.330667686
1551192355.549116135 3.893455428 0.037970876 0.733429611 0.631368568 -0.621913889 0.324302460 -0.330794135
1551192355.643925190 3.895050604 0.037895908 0.733440822 0.631406777 -0.621888400 0.324269031 -0.330801897
1551192355.745739937 3.912291380 0.039946705 0.731816387 0.630817400 -0.622108761 0.325140177 -0.330656864
1551192355.836984396 3.914577143 0.040151880 0.731648672 0.630752864 -0.622133245 0.325234854 -0.330640803
1551192355.969019890 3.914577143 0.040151880 0.731648672 0.630752864 -0.622133245 0.325234854 -0.330640803
1551192356.060990810 3.942904764 0.038202214 0.731668989 0.631926705 -0.621665258 0.323983145 -0.330508499
1551192356.162351370 3.950209220 0.040520755 0.731167878 0.631088368 -0.622291541 0.325108799 -0.329825680
1551192356.253684998 3.950209220 0.040520755 0.731167878 0.631088368 -0.622291541 0.325108799 -0.329825680
1551192356.344415188 4.020107116 0.040121261 0.726518581 0.631194999 -0.622329766 0.324796524 -0.329857172
1551192356.476695061 4.020107116 0.040121261 0.726518581 0.631194999 -0.622329766 0.324796524 -0.329857172
1551192356.567465544 4.041520282 0.038766534 0.724699468 0.631393162 -0.622239682 0.323853104 -0.330574681
1551192356.668824196 4.041520282 0.038766534 0.724699468 0.631393162 -0.622239682 0.323853104 -0.330574681
1551192356.769942284 4.079971874 0.039762564 0.725137047 0.631507351 -0.621774812 0.324944960 -0.330159540
1551192356.871353626 4.145386511 0.038384136 0.720199855 0.631348601 -0.621845633 0.324573334 -0.330694880
1551192356.962296963 4.145386511 0.038384136 0.720199855 0.631348601 -0.621845633 0.324573334 -0.330694880
1551192357.063397646 4.196208412 0.038435928 0.718685773 0.631741009 -0.621578593 0.324443706 -0.330574699
1551192357.154167891 4.204156381 0.038460722 0.718441020 0.631802942 -0.621536385 0.324423224 -0.330555799
1551192357.285179138 4.204156381 0.038460722 0.718441020 0.631802942 -0.621536385 0.324423224 -0.330555799
1551192357.386120319 4.256420759 0.036855751 0.717911796 0.632014751 -0.621559464 0.324168987 -0.330356860
1551192357.478159189 4.256420759 0.036855751 0.717911796 0.632014751 -0.621559464 0.324168987 -0.330356860
1551192357.580544949 4.288760878 0.037735838 0.711254542 0.631856836 -0.621430700 0.324636620 -0.330441959
1551192357.671351433 4.288760878 0.037735838 0.711254542 0.631856836 -0.621430700 0.324636620 -0.330441959
1551192357.772348881 4.323200989 0.039844675 0.710645407 0.631605023 -0.621856886 0.324334126 -0.330418650
1551192357.894569874 4.323200989 0.039844675 0.710645407 0.631605023 -0.621856886 0.324334126 -0.330418650
1551192357.996643305 4.323200989 0.039844675 0.710645407 0.631605023 -0.621856886 0.324334126 -0.330418650
1551192358.087773323 4.323200989 0.039844675 0.710645407 0.631605023 -0.621856886 0.324334126 -0.330418650
1551192358.188791037 4.404433922 0.038829487 0.706341391 0.631812311 -0.621828987 0.324321982 -0.330086604
1551192358.290804863 4.404433922 0.038829487 0.706341391 0.631812311 -0.621828987 0.324321982 -0.330086604
1551192358.383996010 4.404433922 0.038829487 0.706341391 0.631812311 -0.621828987 0.324321982 -0.330086604
1551192358.485952616 4.404433922 0.038829487 0.706341391 0.631812311 -0.621828987 0.324321982 -0.330086604
1551192358.607814550 4.494926980 0.038089290 0.702023851 0.631823607 -0.621940250 0.323693938 -0.330471619
1551192358.709194660 4.494926980 0.038089290 0.702023851 0.631823607 -0.621940250 0.323693938 -0.330471619
1551192358.800081968 4.631749065 0.036764587 0.695901966 0.631728089 -0.621585734 0.324314118 -0.330713092
1551192358.892284155 4.631749065 0.036764587 0.695901966 0.631728089 -0.621585734 0.324314118 -0.330713092
1551192358.993596554 4.692272959 0.036070329 0.691488734 0.631643692 -0.621577867 0.324210805 -0.330990265
1551192359.118044376 4.692272959 0.036070329 0.691488734 0.631643692 -0.621577867 0.324210805 -0.330990265
1551192359.209871292 4.692272959 0.036070329 0.691488734 0.631643692 -0.621577867 0.324210805 -0.330990265
1551192359.313085079 4.721989380 0.033946336 0.686448146 0.631466943 -0.621441896 0.324253163 -0.331540882
1551192359.404446363 4.722619528 0.033818399 0.686310164 0.631454938 -0.621445264 0.324258015 -0.331552689
1551192359.505167246 4.722619528 0.033818399 0.686310164 0.631454938 -0.621445264 0.324258015 -0.331552689
1551192359.628523588 4.722619528 0.033818399 0.686310164 0.631454938 -0.621445264 0.324258015 -0.331552689
1551192359.731302738 4.804760442 0.032502659 0.684628101 0.631185680 -0.621892907 0.324496085 -0.330992659
1551192359.823180676 4.804760442 0.032502659 0.684628101 0.631185680 -0.621892907 0.324496085 -0.330992659
1551192359.913972139 4.891736384 0.021884373 0.678341477 0.630379708 -0.622475298 0.325778935 -0.330172702
1551192360.016510725 4.891736384 0.021884373 0.678341477 0.630379708 -0.622475298 0.325778935 -0.330172702
1551192360.140284538 4.891736384 0.021884373 0.678341477 0.630379708 -0.622475298 0.325778935 -0.330172702
1551192360.234096766 4.989720944 0.005619299 0.672006211 0.628218224 -0.624775243 0.326740014 -0.328996539
1551192360.325018644 4.989720944 0.005619299 0.672006211 0.628218224 -0.624775243 0.326740014 -0.328996539
1551192360.426321983 5.075941465 -0.021161899 0.674677609 -0.624599038 0.627917544 -0.328230321 0.328421156
1551192360.528284550 5.084193721 -0.023459530 0.674906878 -0.624300597 0.628175658 -0.328352527 0.328372845
1551192360.649532318 5.084193721 -0.023459530 0.674906878 -0.624300597 0.628175658 -0.328352527 0.328372845
1551192360.743273735 5.084193721 -0.023459530 0.674906878 -0.624300597 0.628175658 -0.328352527 0.328372845
1551192360.845352888 5.123336479 -0.037596646 0.675726677 -0.622719143 0.629558082 -0.329063856 0.328015959
1551192360.937375784 5.123336479 -0.037596646 0.675726677 -0.622719143 0.629558082 -0.329063856 0.328015959
1551192361.063006878 5.123336479 -0.037596646 0.675726677 -0.622719143 0.629558082 -0.329063856 0.328015959
1551192361.155581236 5.210939427 -0.059641232 0.677125482 -0.619822705 0.631404155 -0.332012886 0.326980199
1551192361.257576942 5.210939427 -0.059641232 0.677125482 -0.619822705 0.631404155 -0.332012886 0.326980199
1551192361.349414825 5.210939427 -0.059641232 0.677125482 -0.619822705 0.631404155 -0.332012886 0.326980199
1551192361.450813770 5.251193114 -0.066609324 0.673984260 -0.618689912 0.632137443 -0.332939567 0.326766417
1551192361.581825733 5.251193114 -0.066609324 0.673984260 -0.618689912 0.632137443 -0.332939567 0.326766417
1551192361.672656775 5.251193114 -0.066609324 0.673984260 -0.618689912 0.632137443 -0.332939567 0.326766417
1551192361.773997307 5.399155746 -0.104065414 0.666999278 -0.615569103 0.634559112 -0.334558371 0.326312900
1551192361.864768744 5.399155746 -0.104065414 0.666999278 -0.615569103 0.634559112 -0.334558371 0.326312900
1551192361.967692614 5.484403733 -0.110021734 0.664610363 -0.614091191 0.636035447 -0.335532181 0.325221578
1551192362.068825483 5.484403733 -0.110021734 0.664610363 -0.614091191 0.636035447 -0.335532181 0.325221578
1551192362.159675598 5.484403733 -0.110021734 0.664610363 -0.614091191 0.636035447 -0.335532181 0.325221578
1551192362.260921240 5.619430774 -0.130463243 0.658271118 -0.612058925 0.637492662 -0.336701466 0.324990925
1551192362.382544756 5.619430774 -0.130463243 0.658271118 -0.612058925 0.637492662 -0.336701466 0.324990925
1551192362.474195480 5.740945505 -0.150285173 0.654059280 -0.610686713 0.638670895 -0.338102664 0.323802124
1551192362.578033686 5.740945505 -0.150285173 0.654059280 -0.610686713 0.638670895 -0.338102664 0.323802124
1551192362.675621033 5.740945505 -0.150285173 0.654059280 -0.610686713 0.638670895 -0.338102664 0.323802124
1551192362.777840376 5.810067162 -0.168288288 0.653107253 -0.609363256 0.639940807 -0.338633133 0.323233332
1551192362.868797302 5.810067162 -0.168288288 0.653107253 -0.609363256 0.639940807 -0.338633133 0.323233332
1551192363.000429869 5.925377776 -0.211124987 0.642780715 -0.604456055 0.643744765 -0.341839262 0.321514345
1551192363.091237783 5.925377776 -0.211124987 0.642780715 -0.604456055 0.643744765 -0.341839262 0.321514345
1551192363.182106495 6.015560040 -0.227680184 0.632218913 -0.601228069 0.646170004 -0.344300067 0.320072803
1551192363.284346581 6.024145036 -0.229777407 0.631239687 -0.600874550 0.646441885 -0.344554977 0.319913320
1551192363.385254383 6.047585285 -0.254571497 0.637839867 -0.599092976 0.648786012 -0.344835226 0.318202741
1551192363.507106543 6.047585285 -0.254571497 0.637839867 -0.599092976 0.648786012 -0.344835226 0.318202741
1551192363.598031759 6.047585285 -0.254571497 0.637839867 -0.599092976 0.648786012 -0.344835226 0.318202741
1551192363.700472593 6.161283275 -0.343707903 0.632906974 -0.591491693 0.655149034 -0.349428244 0.314352068
1551192363.792774677 6.161283275 -0.343707903 0.632906974 -0.591491693 0.655149034 -0.349428244 0.314352068
1551192363.925113916 6.161283275 -0.343707903 0.632906974 -0.591491693 0.655149034 -0.349428244 0.314352068
1551192364.017089605 6.187066035 -0.357850327 0.631208580 -0.589004852 0.657137438 -0.351314701 0.312764533
1551192364.118709326 6.187066035 -0.357850327 0.631208580 -0.589004852 0.657137438 -0.351314701 0.312764533
1551192364.211912394 6.275500932 -0.457255007 0.627524004 -0.575790970 0.667996824 -0.358139061 0.306563884
1551192364.315151691 6.275500932 -0.457255007 0.627524004 -0.575790970 0.667996824 -0.358139061 0.306563884
1551192364.436932564 6.330991410 -0.541006557 0.628735774 -0.565409826 0.675968154 -0.364058868 0.301396623
1551192364.527616262 6.330991410 -0.541006557 0.628735774 -0.565409826 0.675968154 -0.364058868 0.301396623
1551192364.618905067 6.336168219 -0.591959406 0.631051752 -0.558260995 0.682448805 -0.366338757 0.297328446
1551192364.731283903 6.336168219 -0.591959406 0.631051752 -0.558260995 0.682448805 -0.366338757 0.297328446
1551192364.813734293 6.336168219 -0.591959406 0.631051752 -0.558260995 0.682448805 -0.366338757 0.297328446
1551192364.937406540 6.395171572 -0.704338396 0.633254966 -0.547107517 0.690981772 -0.371474457 0.291931984
1551192365.040306091 6.395171572 -0.704338396 0.633254966 -0.547107517 0.690981772 -0.371474457 0.291931984
1551192365.132520676 6.428216357 -0.745894709 0.632324902 -0.539351978 0.696847450 -0.375169941 0.287664025
1551192365.237533331 6.428216357 -0.745894709 0.632324902 -0.539351978 0.696847450 -0.375169941 0.287664025
1551192365.340269804 6.428216357 -0.745894709 0.632324902 -0.539351978 0.696847450 -0.375169941 0.287664025
1551192365.433887243 6.433833252 -0.830621503 0.693574237 -0.521017800 0.713274756 -0.376469392 0.279374964
1551192365.537345409 6.433833252 -0.830621503 0.693574237 -0.521017800 0.713274756 -0.376469392 0.279374964
1551192365.639728069 6.424209443 -0.868025319 0.655131785 -0.512069123 0.718325149 -0.382725926 0.274435893
1551192365.762571812 6.424209443 -0.868025319 0.655131785 -0.512069123 0.718325149 -0.382725926 0.274435893
1551192365.865743399 6.512319029 -1.036365513 0.616895896 -0.499378122 0.725574453 -0.389987340 0.268464297
1551192365.968029499 6.512319029 -1.036365513 0.616895896 -0.499378122 0.725574453 -0.389987340 0.268464297
1551192366.058920383 6.508673211 -1.066553711 0.616370894 -0.493036653 0.729837016 -0.392357964 0.265156591
1551192366.161261797 6.508673211 -1.066553711 0.616370894 -0.493036653 0.729837016 -0.392357964 0.265156591
1551192366.262679100 6.528641064 -1.138386402 0.634169075 -0.481141525 0.738092082 -0.395478805 0.259459873
1551192366.355118752 6.528641064 -1.138386402 0.634169075 -0.481141525 0.738092082 -0.395478805 0.259459873
1551192366.476139784 6.563734722 -1.201410622 0.632226507 -0.473073317 0.743283906 -0.398632098 0.254603852
1551192366.568413258 6.563734722 -1.201410622 0.632226507 -0.473073317 0.743283906 -0.398632098 0.254603852
1551192366.659957409 6.563734722 -1.201410622 0.632226507 -0.473073317 0.743283906 -0.398632098 0.254603852
1551192366.761916399 6.561779519 -1.249249451 0.640732016 -0.466827995 0.747911678 -0.400141489 0.250173005
1551192366.862977743 6.559350075 -1.360281050 0.613728691 -0.455325965 0.754265225 -0.405157260 0.244151245
1551192366.985193014 6.558754714 -1.373563088 0.610614668 -0.453957671 0.755005135 -0.405743491 0.243437668
1551192367.076146364 6.558754714 -1.373563088 0.610614668 -0.453957671 0.755005135 -0.405743491 0.243437668
1551192367.177254200 6.569270994 -1.420837238 0.603673360 -0.448970516 0.757978740 -0.407470428 0.240544290
1551192367.281352282 6.569270994 -1.420837238 0.603673360 -0.448970516 0.757978740 -0.407470428 0.240544290
1551192367.372236013 6.569270994 -1.420837238 0.603673360 -0.448970516 0.757978740 -0.407470428 0.240544290
1551192367.464564085 6.584203250 -1.482298618 0.601028173 -0.442921696 0.761520438 -0.409946654 0.236327600
1551192367.595658302 6.584203250 -1.482298618 0.601028173 -0.442921696 0.761520438 -0.409946654 0.236327600
1551192367.688302517 6.584203250 -1.482298618 0.601028173 -0.442921696 0.761520438 -0.409946654 0.236327600
1551192367.790898085 6.612331677 -1.622800091 0.593597099 -0.429103927 0.769309704 -0.414248614 0.228977040
1551192367.892933130 6.612331677 -1.622800091 0.593597099 -0.429103927 0.769309704 -0.414248614 0.228977040
1551192367.995549202 6.612227049 -1.734397293 0.597396018 -0.414651551 0.777363485 -0.417626807 0.222166500
1551192368.076591730 6.612227049 -1.734397293 0.597396018 -0.414651551 0.777363485 -0.417626807 0.222166500
1551192368.199757338 6.587231566 -1.813980706 0.590624378 -0.399196004 0.785191020 -0.423042999 0.212490549
1551192368.292953491 6.588757101 -1.859482743 0.591246196 -0.392903190 0.788492550 -0.424235139 0.209597541
1551192368.404771090 6.588782135 -1.864314960 0.591297621 -0.392227053 0.788844251 -0.424360749 0.209286027
1551192368.497000217 6.588782135 -1.864314960 0.591297621 -0.392227053 0.788844251 -0.424360749 0.209286027
1551192368.625368118 6.598178339 -2.021875265 0.588252831 -0.374343494 0.797652429 -0.428600814 0.199797130
1551192368.717801571 6.598178339 -2.021875265 0.588252831 -0.374343494 0.797652429 -0.428600814 0.199797130
1551192368.809732199 6.598178339 -2.021875265 0.588252831 -0.374343494 0.797652429 -0.428600814 0.199797130
1551192368.912629366 6.600550877 -2.135842033 0.591822048 -0.360195632 0.804659388 -0.430960776 0.192497238
1551192369.037394762 6.600550877 -2.135842033 0.591822048 -0.360195632 0.804659388 -0.430960776 0.192497238
1551192369.128479004 6.600550877 -2.135842033 0.591822048 -0.360195632 0.804659388 -0.430960776 0.192497238
1551192369.229813576 6.603085643 -2.258850639 0.583310451 -0.346649455 0.810417180 -0.434497515 0.185121740
1551192369.331202507 6.603085643 -2.258850639 0.583310451 -0.346649455 0.810417180 -0.434497515 0.185121740
1551192369.444888830 6.575100786 -2.408362696 0.570507531 -0.325449998 0.818916108 -0.439242954 0.174712148
1551192369.516309261 6.575100786 -2.408362696 0.570507531 -0.325449998 0.818916108 -0.439242954 0.174712148
1551192369.650122881 6.547204129 -2.493687073 0.580207557 -0.301994333 0.828766830 -0.442673068 0.161200244
1551192369.743992567 6.547204129 -2.493687073 0.580207557 -0.301994333 0.828766830 -0.442673068 0.161200244
1551192369.846148014 6.547204129 -2.493687073 0.580207557 -0.301994333 0.828766830 -0.442673068 0.161200244
1551192369.937432051 6.559405853 -2.620935589 0.566555840 -0.284394263 0.834704381 -0.446664810 0.151258212
1551192370.061513424 6.559405853 -2.620935589 0.566555840 -0.284394263 0.834704381 -0.446664810 0.151258212
1551192370.163982630 6.559405853 -2.620935589 0.566555840 -0.284394263 0.834704381 -0.446664810 0.151258212
1551192370.255322218 6.564484481 -2.680147985 0.568016516 -0.274909779 0.838034052 -0.448191091 0.145767924
