# time x y z qx qy qz qw
1551197580.048059464 3.749055096 0.039822237 0.736150000 0.630897925 -0.622693146 0.324646360 -0.329887548
1551197580.282834530 3.756242334 0.043309554 0.736150000 0.630783952 -0.622808600 0.324706730 -0.329828127
1551197580.435986519 3.746965139 0.037651358 0.736150000 0.630903075 -0.622687929 0.324643632 -0.329890233
1551197580.564579487 3.760069511 0.043344762 0.736150000 0.631056970 -0.622531965 0.324562081 -0.329970467
1551197580.750281572 3.751550616 0.037862645 0.736150000 0.630816705 -0.622775426 0.324689383 -0.329845203
1551197580.934010267 3.757338847 0.043610427 0.736150000 0.631085449 -0.622503094 0.324546985 -0.329985315
1551197581.124626160 3.755611148 0.039465117 0.736150000 0.630760400 -0.622832453 0.324719202 -0.329815848
1551197581.290408611 3.757072941 0.034621809 0.736150000 0.630658986 -0.622935141 0.324772896 -0.329762975
1551197581.451999426 3.757512140 0.041079665 0.736150000 0.630710993 -0.622882485 0.324745363 -0.329790089
1551197581.636941195 3.760007160 0.043143471 0.736150000 0.630913446 -0.622677420 0.324638137 -0.329895640
1551197581.778545380 3.752689236 0.044800857 0.736150000 0.630815003 -0.622777150 0.324690284 -0.329844316
1551197581.923424482 3.762794265 0.053010325 0.736150000 0.631063318 -0.622525530 0.324558716 -0.329973777
1551197582.057167530 3.756961273 0.050102745 0.736150000 0.630891548 -0.622699608 0.324649739 -0.329884223
1551197582.259727001 3.744732216 0.051696575 0.736150000 0.631658068 -0.621922047 0.324243164 -0.330283854
1551197582.447104931 3.745413175 0.054058008 0.736150000 0.631668091 -0.621911867 0.324237841 -0.330289079
1551197582.611954689 3.751713666 0.060275370 0.736150000 0.631588284 -0.621992915 0.324280220 -0.330247472
1551197582.826147795 3.762426696 0.062594457 0.736150000 0.631560284 -0.622021346 0.324295086 -0.330232873
1551197583.009685993 3.756422545 0.065389482 0.736150000 0.631847292 -0.621729802 0.324142642 -0.330382507
1551197583.192348957 3.756824381 0.054715001 0.736150000 0.631297015 -0.622288538 0.324434797 -0.330095617
1551197583.365428686 3.754447566 0.062248256 0.736150000 0.631917771 -0.621658167 0.324105186 -0.330419252
1551197583.510243416 3.757280685 0.053033238 0.736150000 0.631557668 -0.622024002 0.324296475 -0.330231510
