# time x y z qx qy qz qw
1551197431.520041466 4.538251408 0.016047113 0.736150000 0.628966311 -0.624644159 0.325666522 -0.328880480
1551197431.622677565 4.588163419 0.009601999 0.736150000 0.628458059 -0.625155512 0.325933904 -0.328615495
1551197431.714949608 4.634754900 0.002323257 0.736150000 0.627884408 -0.625731665 0.326235170 -0.328316414
1551197431.816422462 4.686278742 -0.006115766 0.736150000 0.627225107 -0.626392538 0.326580736 -0.327972676
1551197431.917562962 4.739102435 -0.016477750 0.736150000 -0.626415475 0.627202200 -0.327004105 0.327550559
1551197432.008526325 4.786821359 -0.026291225 0.736150000 -0.625655459 0.627960344 -0.327400536 0.327154310
1551197432.111704111 4.841867096 -0.037696902 0.736150000 -0.624782136 0.628829253 -0.327854889 0.326698983
1551197432.236834049 4.909048968 -0.052569222 0.736150000 -0.623652352 0.629949753 -0.328440800 0.326109942
1551197432.338414431 4.963221609 -0.065876414 0.736150000 -0.622644733 0.630945706 -0.328961589 0.325584592
1551197432.429114103 5.011568347 -0.077945194 0.736150000 -0.621740581 0.631836685 -0.329427488 0.325113186
1551197432.520090342 5.060284050 -0.090499978 0.736150000 -0.620806832 0.632754158 -0.329907243 0.324626346
1551197432.620975018 5.114253629 -0.104927916 0.736150000 -0.619741198 0.633797912 -0.330453034 0.324070742
1551197432.742829561 5.179866245 -0.124036715 0.736150000 -0.618332578 0.635172236 -0.331171689 0.323336305
1551197432.843711615 5.234414042 -0.140413857 0.736150000 -0.617136258 0.636334649 -0.331779535 0.322712555
1551197432.944969177 5.288976272 -0.156918279 0.736150000 -0.615944638 0.637488156 -0.332382728 0.322091253
1551197433.037380457 5.338531016 -0.172785553 0.736150000 -0.614801727 0.638590466 -0.332959152 0.321495344
1551197433.138096333 5.392458617 -0.190623442 0.736150000 -0.613524347 0.639817804 -0.333600960 0.320829320
1551197433.240251780 5.446158626 -0.209700630 0.736150000 -0.612156616 0.641126527 -0.334285331 0.320116184
1551197433.331441164 5.494805688 -0.227145669 0.736150000 -0.610918826 0.642306106 -0.334902172 0.319470794
1551197433.432096481 5.548379015 -0.247408261 0.736150000 -0.609482049 0.643669619 -0.335615203 0.318721648
1551197433.553111792 5.613965574 -0.272358357 0.736150000 -0.607735812 0.645318626 -0.336477536 0.317811141
1551197433.655189276 5.669705146 -0.295814849 0.736150000 -0.606078867 0.646875068 -0.337291470 0.316947185
1551197433.756168365 5.727231993 -0.321082493 0.736150000 -0.604300905 0.648536323 -0.338160222 0.316020122
1551197433.851022720 5.782600094 -0.347564264 0.736150000 -0.602426136 0.650278169 -0.339071127 0.315042575
1551197433.953250647 5.844526687 -0.378311718 0.736150000 -0.600259149 0.652279005 -0.340117483 0.313912649
1551197434.045103312 5.900766108 -0.407520017 0.736150000 -0.598207554 0.654161042 -0.341101721 0.312842883
1551197434.173125982 5.981452927 -0.450473791 0.736150000 -0.595218431 0.656882003 -0.342524705 0.311284243
1551197434.263804197 6.039627135 -0.483110824 0.736150000 -0.592953023 0.658927658 -0.343594537 0.310102963
