# time x y z qx qy qz qw
1551196597.137979269 3.904006336 -0.006348995 0.736150000 0.626833504 -0.626784417 0.326785648 -0.327768507
1551196597.239873886 4.243679091 -0.138423477 0.736150000 -0.616912866 0.636551226 -0.331892787 0.322596081
1551196597.372662067 4.098966283 -0.000684160 0.736150000 -0.625479812 0.628135297 -0.327492019 0.327062732
1551196597.536720753 4.444476820 -0.206153629 0.736150000 -0.612022279 0.641254767 -0.334352392 0.320046140
1551196597.693929434 4.318883486 -0.097853183 0.736150000 -0.623271536 0.630326534 -0.328637820 0.325911394
1551196597.838467836 4.362876974 -0.057257004 0.736150000 -0.622300347 0.631285375 -0.329139204 0.325405037
1551196597.970539331 4.739531942 -0.294148168 0.736150000 -0.606225497 0.646737654 -0.337219609 0.317023640
1551196598.093235731 4.818194417 -0.315398233 0.736150000 -0.604935414 0.647944513 -0.337850734 0.316350968
1551196598.226359129 4.922466374 -0.338723812 0.736150000 -0.603679581 0.649114712 -0.338462692 0.315696151
1551196598.337599039 4.703585325 -0.189894212 0.736150000 -0.613198587 0.640130018 -0.333764226 0.320659469
1551196598.459858418 4.810214365 -0.177958332 0.736150000 -0.613089017 0.640234960 -0.333819103 0.320602339
1551196598.703224659 5.212521699 -0.383786612 0.736150000 -0.602013559 0.650660143 -0.339270883 0.314827447
1551196598.997311115 5.365977752 -0.405782382 0.736150000 -0.601334406 0.651287862 -0.339599154 0.314473319
1551196599.169611454 5.480649045 -0.423306999 0.736150000 -0.600751158 0.651825892 -0.339880522 0.314169197
1551196599.342072964 5.549229630 -0.431820620 0.736150000 -0.600081110 0.652442801 -0.340203142 0.313819814
1551196599.464484930 5.234770152 -0.295247225 0.736150000 -0.604555445 0.648299052 -0.338036141 0.316152844
1551196599.637155294 5.308839773 -0.307251338 0.736150000 -0.604170028 0.648658249 -0.338223983 0.315951880
1551196599.768792629 5.430388254 -0.314701473 0.736150000 -0.604179017 0.648649876 -0.338219605 0.315956567
1551196599.880538940 5.527671743 -0.327790205 0.736150000 -0.604224388 0.648607613 -0.338197503 0.315980225
1551196600.065395117 5.636403972 -0.344922251 0.736150000 -0.603872903 0.648934868 -0.338368642 0.315796953
1551196600.217761517 5.718202487 -0.353309626 0.736150000 -0.603184587 0.649574708 -0.338703248 0.315438049
1551196600.370575190 5.815608018 -0.344257897 0.736150000 -0.604303525 0.648533882 -0.338158946 0.316021488
1551196600.543025970 5.890354130 -0.377029878 0.736150000 -0.604039243 0.648780040 -0.338287674 0.315883686
1551196600.705682993 6.027732355 -0.390043935 0.736150000 -0.603573205 0.649213626 -0.338514419 0.315640684
1551196600.837371349 6.124574294 -0.412671058 0.736150000 -0.603408827 0.649366410 -0.338594318 0.315554973
1551196600.989118814 6.209276188 -0.425217362 0.736150000 -0.603115902 0.649638480 -0.338736599 0.315402236
1551196601.059725523 6.243334494 -0.450451724 0.736150000 -0.601343847 0.651279144 -0.339594595 0.314478242
1551196601.292484760 6.374328525 -0.465726708 0.736150000 -0.603016661 0.649730600 -0.338784773 0.315350489
1551196601.455683708 6.453461008 -0.488333914 0.736150000 -0.600181593 0.652350368 -0.340154803 0.313872209
1551196601.617619038 6.591061319 -0.517964929 0.736150000 -0.599398242 0.653070206 -0.340531251 0.313463746
1551196601.769525051 6.576964182 -0.508573776 0.736150000 -0.597741086 0.654587306 -0.341324643 0.312599650
