# time x y z qx qy qz qw
1551196597.476942778 4.439955937 -0.208550455 0.736150000 -0.611843652 0.641425204 -0.334441519 0.319953003
1551196597.579191446 4.507921436 -0.231175772 0.736150000 -0.610270666 0.642921971 -0.335224230 0.319132839
1551196597.670564651 4.568659625 -0.250375558 0.736150000 -0.608973993 0.644150311 -0.335866576 0.318456742
1551196597.775645256 4.638455806 -0.270674228 0.736150000 -0.607657476 0.645392391 -0.336516111 0.317770295
1551196597.888518572 4.712189509 -0.291818656 0.736150000 -0.606315667 0.646653121 -0.337175403 0.317070656
1551196597.980979443 4.771843541 -0.307590133 0.736150000 -0.605363278 0.647544785 -0.337641697 0.316574064
1551196598.073320866 4.831475010 -0.322132052 0.736150000 -0.604529997 0.648322782 -0.338048550 0.316139575
1551196598.174801826 4.895921620 -0.335678752 0.736150000 -0.603830178 0.648974624 -0.338389432 0.315774675
1551196598.295944452 4.971677842 -0.350063561 0.736150000 -0.603153340 0.649603721 -0.338718421 0.315421757
1551196598.387580872 5.028368212 -0.359745599 0.736150000 -0.602748945 0.649978966 -0.338914657 0.315210895
1551196598.478727102 5.084843727 -0.368182560 0.736150000 -0.602455554 0.650250915 -0.339056874 0.315057914
1551196598.573476791 5.143293466 -0.376833723 0.736150000 -0.602163432 0.650521443 -0.339198349 0.314905594
1551196598.704790592 5.223564256 -0.388230012 0.736150000 -0.601810957 0.650847538 -0.339368883 0.314721805
1551196598.796293974 5.279475722 -0.396420868 0.736150000 -0.601548028 0.651090559 -0.339495973 0.314584707
1551196598.899912596 5.341550343 -0.405526118 0.736150000 -0.601259569 0.651356951 -0.339635285 0.314434296
1551196598.991554499 5.395961870 -0.413515692 0.736150000 -0.601010018 0.651587219 -0.339755706 0.314304174
1551196599.114261389 5.468749521 -0.424971299 0.736150000 -0.600615691 0.651950718 -0.339945801 0.314098560
1551196599.215147257 5.528579829 -0.434492352 0.736150000 -0.600287938 0.652252511 -0.340103627 0.313927661
1551196599.306744099 5.582795855 -0.444305069 0.736150000 -0.599893344 0.652615447 -0.340293429 0.313721908
1551196599.410301447 5.644052244 -0.455756816 0.736150000 -0.599422659 0.653047795 -0.340519531 0.313476478
1551196599.505684376 5.699998126 -0.466881969 0.736150000 -0.598941685 0.653488948 -0.340750239 0.313225683
1551196599.638019800 5.777649929 -0.481811598 0.736150000 -0.598329684 0.654049337 -0.341043303 0.312906565
1551196599.730908632 5.831822517 -0.492837153 0.736150000 -0.597857430 0.654481046 -0.341269073 0.312660316
1551196599.842110634 5.896100642 -0.505203181 0.736150000 -0.597367260 0.654928472 -0.341503063 0.312404724
1551196599.934645176 5.949554975 -0.515767489 0.736150000 -0.596941829 0.655316259 -0.341705864 0.312182889
1551196600.036965847 6.008719266 -0.526783431 0.736150000 -0.596536020 0.655685690 -0.341899065 0.311971285
1551196600.137807846 6.066956560 -0.538303229 0.736150000 -0.596084296 0.656096379 -0.342113844 0.311735739
1551196600.228993654 6.120162756 -0.548471825 0.736150000 -0.595708480 0.656437623 -0.342292306 0.311539774
1551196600.330465078 6.178714890 -0.560401282 0.736150000 -0.595236606 0.656865534 -0.342516092 0.311293720
1551196600.421422005 6.231248462 -0.570550748 0.736150000 -0.594867532 0.657199792 -0.342690900 0.311101270
1551196600.522234917 6.289460066 -0.581879549 0.736150000 -0.594457322 0.657570862 -0.342884961 0.310887370
1551196600.647155762 6.360780165 -0.595842959 0.736150000 -0.593956146 0.658023588 -0.343121727 0.310626035
1551196600.744889736 6.416175321 -0.605719540 0.736150000 -0.593657214 0.658293293 -0.343262777 0.310470159
1551196600.836211920 6.467457413 -0.615685687 0.736150000 -0.593312758 0.658603764 -0.343425147 0.310290545
1551196600.937077999 6.523369623 -0.625542250 0.736150000 -0.593030495 0.658857935 -0.343558073 0.310143360
1551196601.061112881 6.591385665 -0.637450152 0.736150000 -0.592699802 0.659155438 -0.343713661 0.309970922
1551196601.156380653 6.642072494 -0.645572471 0.736150000 -0.592522519 0.659314804 -0.343797007 0.309878479
1551196601.258015871 6.695505412 -0.654434771 0.736150000 -0.592312139 0.659503811 -0.343895854 0.309768777
1551196601.349328041 6.742049431 -0.661382918 0.736150000 -0.592198579 0.659605784 -0.343949184 0.309709561
1551196601.450993776 6.793017146 -0.668956269 0.736150000 -0.592078731 0.659713364 -0.344005447 0.309647067
1551196601.574511766 6.853513180 -0.677689951 0.736150000 -0.591960971 0.659819032 -0.344060709 0.309585661
1551196601.675362349 6.901902734 -0.683717599 0.736150000 -0.591951489 0.659827539 -0.344065158 0.309580717
1551196601.767898083 6.945661077 -0.689925504 0.736150000 -0.591877135 0.659894237 -0.344100040 0.309541945
1551196601.868968487 6.992583098 -0.696608463 0.736150000 -0.591795825 0.659967157 -0.344138176 0.309499546
1551196601.969726801 7.039368329 -0.703194517 0.736150000 -0.591722744 0.660032682 -0.344172445 0.309461438
1551196602.061165810 7.081831799 -0.709121523 0.736150000 -0.591661468 0.660087610 -0.344201171 0.309429486
1551196602.183696270 7.138767972 -0.716757712 0.736150000 -0.591607426 0.660136047 -0.344226503 0.309401306
1551196602.284707069 7.185786373 -0.722325472 0.736150000 -0.591627939 0.660117663 -0.344216888 0.309412003
1551196602.377524614 7.229552330 -0.727215103 0.736150000 -0.591672161 0.660078026 -0.344196159 0.309435062
1551196602.469646454 7.274105122 -0.731734027 0.736150000 -0.591756644 0.660002288 -0.344156549 0.309479116
1551196602.571331024 7.323523870 -0.734559474 0.736150000 -0.592039518 0.659748555 -0.344023851 0.309626620
1551196602.672370434 7.372862350 -0.735229320 0.736150000 -0.592505075 0.659330481 -0.343805205 0.309869382
1551196602.795783281 7.434363133 -0.734482978 0.736150000 -0.593213819 0.658692881 -0.343471753 0.310238954
1551196602.896558046 7.485431364 -0.731978962 0.736150000 -0.593956644 0.658023139 -0.343121492 0.310626295
1551196602.997963905 7.538612237 -0.729518154 0.736150000 -0.594706431 0.657345576 -0.342767142 0.311017266
1551196603.092961311 7.589671045 -0.727294677 0.736150000 -0.595403277 0.656714462 -0.342437085 0.311380629
1551196603.183872223 7.640932170 -0.724878321 0.736150000 -0.596108851 0.656074069 -0.342102176 0.311748543
1551196603.285508871 7.699230737 -0.721044148 0.736150000 -0.596992987 0.655269654 -0.341681491 0.312209565
1551196603.407552719 7.770924479 -0.716734201 0.736150000 -0.598025172 0.654327777 -0.341188918 0.312747783
1551196603.467948437 7.807221984 -0.714170893 0.736150000 -0.598572866 0.653826789 -0.340926918 0.313033369
1551196603.613723993 7.896007293 -0.707929483 0.736150000 -0.599887634 0.652620696 -0.340296174 0.313718930
1551196603.706539631 7.954346665 -0.703446254 0.736150000 -0.600765707 0.651812482 -0.339873509 0.314176783
1551196603.807701349 8.019109757 -0.698093502 0.736150000 -0.601756492 0.650897896 -0.339395218 0.314693405
1551196603.911576986 8.087672020 -0.692237005 0.736150000 -0.602801944 0.649929814 -0.338888953 0.315238530
1551196604.004020929 8.149657624 -0.686738354 0.736150000 -0.603746769 0.649052221 -0.338430012 0.315731184
