# time x y z qx qy qz qw
1551192354.745916367 3.858617063 0.044560947 0.736150000 0.631348674 -0.622236127 0.324407392 -0.330122549
1551192354.847158670 3.867651934 0.044735167 0.736150000 0.631362209 -0.622222394 0.324400211 -0.330129606
1551192354.937986612 3.880269050 0.044571151 0.736150000 0.631347341 -0.622237480 0.324408099 -0.330121854
1551192355.039142132 3.896792488 0.043522531 0.736150000 0.631258717 -0.622327389 0.324455111 -0.330075649
1551192355.132387161 3.915133462 0.042800771 0.736150000 0.631197517 -0.622389461 0.324487568 -0.330043742
1551192355.254307747 3.941063251 0.042374266 0.736150000 0.631160847 -0.622426648 0.324507012 -0.330024624
1551192355.355782986 3.964852578 0.041840111 0.736150000 0.631115392 -0.622472737 0.324531112 -0.330000926
1551192355.447694302 3.987731743 0.040838753 0.736150000 0.631031584 -0.622557698 0.324575536 -0.329957232
1551192355.549116135 4.014674376 0.040875149 0.736150000 0.631034284 -0.622554961 0.324574105 -0.329958640
1551192355.643925190 4.040263989 0.041861268 0.736150000 0.631115635 -0.622472491 0.324530983 -0.330001053
1551192355.745739937 4.068557279 0.040828131 0.736150000 0.631029121 -0.622560194 0.324576842 -0.329955948
1551192355.836984396 4.095762207 0.040009166 0.736150000 0.630960903 -0.622629332 0.324612993 -0.329920382
1551192355.969019890 4.136144429 0.039541934 0.736150000 0.630922415 -0.622668333 0.324633386 -0.329900316
1551192356.060990810 4.165952029 0.038932422 0.736150000 0.630872379 -0.622719028 0.324659893 -0.329874229
1551192356.162351370 4.200534083 0.038516594 0.736150000 0.630839014 -0.622752829 0.324677567 -0.329856834
1551192356.253684998 4.233030637 0.039087749 0.736150000 0.630887478 -0.622703731 0.324651895 -0.329882101
1551192356.344415188 4.267692012 0.038352222 0.736150000 0.630827359 -0.622764634 0.324683740 -0.329850757
1551192356.476695061 4.321667331 0.037620895 0.736150000 0.630769560 -0.622823176 0.324714351 -0.329820623
1551192356.567465544 4.360268966 0.038323712 0.736150000 0.630829912 -0.622762048 0.324682388 -0.329852088
1551192356.668824196 4.404088201 0.037902034 0.736150000 0.630796828 -0.622795559 0.324699911 -0.329834840
1551192356.769942284 4.447982088 0.037285697 0.736150000 0.630747867 -0.622845145 0.324725838 -0.329809314
1551192356.871353626 4.492011096 0.035840762 0.736150000 0.630630985 -0.622963488 0.324787718 -0.329748376
1551192356.962296963 4.531496887 0.034303494 0.736150000 0.630507363 -0.623088607 0.324853141 -0.329683924
1551192357.063397646 4.574936278 0.034479516 0.736150000 0.630527488 -0.623068241 0.324842492 -0.329694417
1551192357.154167891 4.614063573 0.035137653 0.736150000 0.630586525 -0.623008492 0.324811250 -0.329725196
1551192357.285179138 4.670429307 0.031918965 0.736150000 0.630325900 -0.623272177 0.324949128 -0.329589317
1551192357.386120319 4.713375538 0.030476121 0.736150000 0.630214212 -0.623385108 0.325008178 -0.329531088
1551192357.478159189 4.751195058 0.030079852 0.736150000 0.630189049 -0.623410546 0.325021479 -0.329517969
1551192357.580544949 4.792970883 0.029471119 0.736150000 0.630147533 -0.623452511 0.325043422 -0.329496324
1551192357.671351433 4.829499331 0.028484568 0.736150000 0.630073816 -0.623527011 0.325082377 -0.329457890
1551192357.772348881 4.868348208 0.026902205 0.736150000 0.629952068 -0.623650013 0.325146694 -0.329394416
1551192357.894569874 4.913971964 0.026298143 0.736150000 0.629914703 -0.623687753 0.325166427 -0.329374936
1551192357.996643305 4.950563440 0.026072345 0.736150000 0.629906405 -0.623696134 0.325170809 -0.329370609
1551192358.087773323 4.983794389 0.025137397 0.736150000 0.629838438 -0.623764770 0.325206699 -0.329335174
1551192358.188791037 5.021510092 0.023567725 0.736150000 0.629719765 -0.623884575 0.325269343 -0.329273302
1551192358.290804863 5.059604264 0.020782703 0.736150000 0.629501572 -0.624104733 0.325384461 -0.329159545
1551192358.383996010 5.094662467 0.018616131 0.736150000 0.629335415 -0.624272282 0.325472071 -0.329072917
1551192358.485952616 5.134236019 0.015316638 0.736150000 0.629078858 -0.624530813 0.325607254 -0.328939158
1551192358.607814550 5.180795191 0.011143869 0.736150000 0.628756249 -0.624855604 0.325777084 -0.328770961
1551192358.709194660 5.221291537 0.005110395 0.736150000 0.628278781 -0.625335686 0.326028115 -0.328522026
1551192358.800081968 5.258115406 -0.001176914 0.736150000 0.627782153 -0.625834255 0.326288813 -0.328263102
1551192358.892284155 5.296122725 -0.007859939 0.736150000 0.627258275 -0.626359324 0.326563369 -0.327989969
1551192358.993596554 5.338754751 -0.016137906 0.736150000 -0.626611051 0.627006808 -0.326901935 0.327652527
1551192359.118044376 5.392716220 -0.028463457 0.736150000 -0.625647363 0.627968410 -0.327404754 0.327150088
1551192359.209871292 5.432886231 -0.039210988 0.736150000 -0.624806719 0.628804827 -0.327842116 0.326711800
1551192359.313085079 5.477110652 -0.051106127 0.736150000 -0.623885297 0.629719051 -0.328320165 0.326231394
1551192359.404446363 5.513974982 -0.062023884 0.736150000 -0.623040554 0.630554846 -0.328757206 0.325790965
1551192359.505167246 5.553121948 -0.074408773 0.736150000 -0.622084954 0.631497630 -0.329250194 0.325292735
1551192359.628523588 5.596491399 -0.087429187 0.736150000 -0.621095560 0.632470752 -0.329759047 0.324776884
1551192359.731302738 5.629057814 -0.097196568 0.736150000 -0.620360008 0.633192235 -0.330136318 0.324393380
1551192359.823180676 5.655987751 -0.105209375 0.736150000 -0.619761598 0.633777964 -0.330442603 0.324081378
1551192359.913972139 5.682306049 -0.113765317 0.736150000 -0.619119243 0.634405478 -0.330770739 0.323746462
1551192360.016510725 5.711895587 -0.122266983 0.736150000 -0.618495948 0.635013156 -0.331088503 0.323421484
1551192360.140284538 5.748791013 -0.132613131 0.736150000 -0.617746382 0.635742365 -0.331469819 0.323030668
1551192360.234096766 5.779047122 -0.142576539 0.736150000 -0.617011449 0.636455669 -0.331842819 0.322647481
1551192360.325018644 5.812283621 -0.151852460 0.736150000 -0.616351588 0.637094708 -0.332176985 0.322303434
1551192360.426321983 5.855301320 -0.162043178 0.736150000 -0.615658336 0.637764658 -0.332527318 0.321941977
1551192360.528284550 5.904182889 -0.172937653 0.736150000 -0.614937394 0.638459825 -0.332890837 0.321566081
1551192360.649532318 5.967144630 -0.185271158 0.736150000 -0.614165671 0.639202218 -0.333279053 0.321163706
1551192360.743273735 6.018655064 -0.195122990 0.736150000 -0.613563059 0.639780680 -0.333581547 0.320849505
1551192360.845352888 6.078960700 -0.206659793 0.736150000 -0.612866892 0.640447592 -0.333930295 0.320486523
1551192360.937375784 6.136688397 -0.217805379 0.736150000 -0.612202365 0.641082842 -0.334262487 0.320140037
1551192361.063006878 6.218950767 -0.231967545 0.736150000 -0.611416990 0.641831918 -0.334654203 0.319730539
1551192361.155581236 6.281220905 -0.243559136 0.736150000 -0.610759241 0.642457856 -0.334981528 0.319387585
1551192361.257576942 6.352290508 -0.257288092 0.736150000 -0.609978492 0.643199181 -0.335369193 0.318980497
1551192361.349414825 6.416293273 -0.269114335 0.736150000 -0.609333398 0.643810342 -0.335688793 0.318644140
1551192361.450813770 6.487672921 -0.284646873 0.736150000 -0.608426364 0.644667594 -0.336137084 0.318171203
1551192361.581825733 6.579953498 -0.303135852 0.736150000 -0.607413587 0.645621933 -0.336636149 0.317643128
1551192361.672656775 6.643615825 -0.320358756 0.736150000 -0.606346008 0.646624671 -0.337160525 0.317086476
1551192361.773997307 6.714407155 -0.342206042 0.736150000 -0.604948064 0.647932702 -0.337844558 0.316357564
1551192361.864768744 6.777046244 -0.360678792 0.736150000 -0.603805403 0.648997675 -0.338401487 0.315761757
1551192361.967692614 6.847752604 -0.384911328 0.736150000 -0.602245358 0.650445598 -0.339158685 0.314948313
1551192362.068825483 6.916858573 -0.412061226 0.736150000 -0.600448445 0.652104755 -0.340026357 0.314011354
1551192362.159675598 6.977645875 -0.436510096 0.736150000 -0.598843761 0.653578684 -0.340797168 0.313174622
1551192362.260921240 7.042626810 -0.465591491 0.736150000 -0.596898891 0.655355369 -0.341726317 0.312160500
1551192362.382544756 7.115735399 -0.505329246 0.736150000 -0.594139268 0.657858250 -0.343035259 0.310721523
1551192362.474195480 7.167455413 -0.536395465 0.736150000 -0.591958829 0.659820954 -0.344061715 0.309584544
1551192362.578033686 7.222661187 -0.572978623 0.736150000 -0.589360524 0.662142824 -0.345276021 0.308229659
1551192362.675621033 7.272683832 -0.608964995 0.736150000 -0.586786283 0.664425169 -0.346469672 0.306887308
1551192362.777840376 7.321786184 -0.648809771 0.736150000 -0.583890449 0.666971431 -0.347801369 0.305377244
1551192362.868797302 7.363027051 -0.685383395 0.736150000 -0.581210214 0.669308325 -0.349023583 0.303979591
1551192363.000429869 7.419019837 -0.740302065 0.736150000 -0.577144484 0.672817353 -0.350858864 0.301859423
1551192363.091237783 7.455381895 -0.782111901 0.736150000 -0.573988196 0.675512026 -0.352268249 0.300213481
1551192363.182106495 7.492081344 -0.824824509 0.736150000 -0.570781102 0.678224064 -0.353686740 0.298541025
1551192363.284346581 7.532978668 -0.872806947 0.736150000 -0.567201200 0.681220776 -0.355254153 0.296674131
1551192363.385254383 7.572853338 -0.920543847 0.736150000 -0.563655803 0.684157206 -0.356790065 0.294825208
1551192363.507106543 7.619960900 -0.980533978 0.736150000 -0.559188222 0.687813550 -0.358702571 0.292495332
1551192363.598031759 7.655446359 -1.025927276 0.736150000 -0.555835263 0.690525964 -0.360121370 0.290746715
1551192363.700472593 7.695698867 -1.077519749 0.736150000 -0.552054639 0.693552177 -0.361704339 0.288775041
1551192363.792774677 7.731907890 -1.126582609 0.736150000 -0.548446642 0.696408808 -0.363198633 0.286893371
1551192363.925113916 7.783944141 -1.201000523 0.736150000 -0.542962825 0.700692741 -0.365439599 0.284033365
1551192364.017089605 7.821847378 -1.254087092 0.736150000 -0.539113237 0.703658912 -0.366991272 0.282025637
1551192364.118709326 7.863749584 -1.314609454 0.736150000 -0.534732862 0.706993432 -0.368735677 0.279741048
1551192364.211912394 7.902480134 -1.373005643 0.736150000 -0.530505017 0.710171369 -0.370398208 0.277535981
1551192364.315151691 7.946068071 -1.437318606 0.736150000 -0.525922990 0.713571269 -0.372176904 0.275146153
1551192364.436932564 7.994739684 -1.511934861 0.736150000 -0.520618109 0.717450856 -0.374206612 0.272379267
1551192364.527616262 8.029634881 -1.565535853 0.736150000 -0.516849606 0.720170418 -0.375629460 0.270413687
1551192364.618905067 8.062649617 -1.619462178 0.736150000 -0.513027711 0.722897997 -0.377056535 0.268420236
1551192364.731283903 8.101759574 -1.686477427 0.736150000 -0.508261676 0.726256852 -0.378813940 0.265934300
